source.name	sequenceID	length	pubmed_id	serotype	genotype	isolate_data.country	isolate_data.collection_year	isolate_data.sampled_host_sci_name
ncbi-curated	JQ920484	10671	-	3	-	New Caledonia	1995	Homo sapiens
ncbi-curated	JQ920485	10663	-	3	-	New Caledonia	1996	Homo sapiens
ncbi-curated	JQ920486	10671	-	3	-	New Caledonia	1996	Homo sapiens
ncbi-curated	JQ920487	10671	-	3	-	Wallis and Futuna	1989	Homo sapiens
ncbi-curated	JQ920488	10671	-	3	-	Wallis and Futuna	1995	Homo sapiens
ncbi-curated	JQ920489	10671	-	3	-	Wallis and Futuna	1995	Homo sapiens
ncbi-curated	JQ922544	10698	-	1	-	India: Vellore, Tamil Nadu	1963	Homo sapiens
ncbi-curated	JQ922545	10625	-	1	1VI	India: Delhi	1982	Homo sapiens
ncbi-curated	JQ922546	10663	-	1	-	India: Jaipur, Rajasthan	1971	Homo sapiens
ncbi-curated	JQ922547	10395	-	1	-	Thailand	1960	Homo sapiens
ncbi-curated	JQ922548	10699	-	1	-	India: Pune, Maharashtra	2005	Homo sapiens
ncbi-curated	JQ922549	10648	-	2	2II	India: Dhule, Maharashtra	1996	Homo sapiens
ncbi-curated	JQ922550	10619	-	2	-	India: Jaipur, Rajasthan	1971	Homo sapiens
ncbi-curated	JQ922551	10639	-	2	-	India: Pune, Maharashtra	2005	Homo sapiens
ncbi-curated	JQ922552	10675	-	2	-	India: Vellore, Tamil Nadu	1960	Homo sapiens
ncbi-curated	JQ922553	10591	-	2	-	India: Kolkata, West Bengol	1980	Homo sapiens
ncbi-curated	JQ922554	10654	-	3	3V	USA	1963	Homo sapiens
ncbi-curated	JQ922555	10663	-	3	-	India: Vellore, Tamil Nadu	1966	Homo sapiens
ncbi-curated	JQ922556	10652	-	3	3III	India: Pune, Maharashtra	2005	Homo sapiens
ncbi-curated	JQ922557	10657	-	3	3III	India: Kolkata, West Bengol	2005	Homo sapiens
ncbi-curated	JQ922558	10626	-	4	-	India: Vellore, Tamil Nadu	1962	Homo sapiens
ncbi-curated	JQ922559	10616	-	4	-	India	1979	Homo sapiens
ncbi-curated	JQ922560	10739	-	4	4I	India: Pune, Maharashtra	2009	Homo sapiens
ncbi-curated	JX073928	10723	-	2	2III	Brazil	2001	-
ncbi-curated	JX567950	10173	-	2	2III	Brazil: RJ	2008	Homo sapiens
ncbi-curated	JX567951	10173	-	2	2III	Brazil: RJ	2008	Homo sapiens
ncbi-curated	JX649147	10723	-	2	2III	Viet Nam	1995	Homo sapiens
ncbi-curated	JX649148	10723	-	2	2III	Viet Nam	1995	Homo sapiens
ncbi-curated	JX669461	10736	-	1	-	Brazil	2010	Homo sapiens
ncbi-curated	JX669462	10737	-	1	1V	Brazil	2010	Homo sapiens
ncbi-curated	JX669463	10735	-	1	1V	Brazil	2010	Homo sapiens
ncbi-curated	JX669464	10736	-	1	-	Brazil	2010	Homo sapiens
ncbi-curated	JX669465	10736	-	1	-	Brazil	2010	Homo sapiens
ncbi-curated	JX669466	10737	-	1	1V	Brazil	2010	Homo sapiens
ncbi-curated	JX669467	10737	-	1	1V	Brazil	1996	Homo sapiens
ncbi-curated	JX669468	10736	-	1	1V	Brazil	1997	Homo sapiens
ncbi-curated	JX669469	10736	-	1	1V	Brazil	1997	Homo sapiens
ncbi-curated	JX669470	10728	-	1	1V	Brazil	1998	Homo sapiens
ncbi-curated	JX669471	10736	-	1	1V	Brazil	1999	Homo sapiens
ncbi-curated	JX669472	10736	-	1	1V	Brazil	2000	Homo sapiens
ncbi-curated	JX669473	10736	-	1	1V	Brazil	2001	Homo sapiens
ncbi-curated	JX669474	10720	-	1	1V	Brazil	2001	Homo sapiens
ncbi-curated	JX669475	10737	-	1	1V	Brazil	2002	Homo sapiens
ncbi-curated	JX669476	10723	-	2	2III	Brazil: Pernambuco	2010	Homo sapiens
ncbi-curated	JX669477	10723	-	2	2III	Brazil: Pernambuco	2010	Homo sapiens
ncbi-curated	JX669478	10723	-	2	2III	Brazil: Pernambuco	2010	Homo sapiens
ncbi-curated	JX669479	10726	-	2	2III	Brazil: Pernambuco	2010	Homo sapiens
ncbi-curated	JX669480	10723	-	2	2III	Brazil: Pernambuco	1995	Homo sapiens
ncbi-curated	JX669481	10723	-	2	2III	Brazil: Pernambuco	1995	Homo sapiens
ncbi-curated	JX669482	10726	-	2	2III	Brazil: Pernambuco	1995	Homo sapiens
ncbi-curated	JX669483	10725	-	2	2III	Brazil: Pernambuco	1997	Homo sapiens
ncbi-curated	JX669484	10723	-	2	2III	Brazil: Pernambuco	1998	Homo sapiens
ncbi-curated	JX669485	10723	-	2	2III	Brazil: Pernambuco	1998	Homo sapiens
ncbi-curated	JX669486	10724	-	2	2III	Brazil: Pernambuco	1999	Homo sapiens
ncbi-curated	JX669487	10723	-	2	2III	Brazil: Pernambuco	2000	Homo sapiens
ncbi-curated	JX669488	10724	-	2	2III	Brazil: Pernambuco	2002	Homo sapiens
ncbi-curated	JX669489	10709	-	3	3III	Brazil: Pernambuco	2003	Homo sapiens
ncbi-curated	JX669490	10707	-	3	3III	Brazil: Pernambuco	2002	Homo sapiens
ncbi-curated	JX669491	10708	-	3	3III	Brazil: Pernambuco	2002	Homo sapiens
ncbi-curated	JX669492	10709	-	3	3III	Brazil: Pernambuco	2005	Homo sapiens
ncbi-curated	JX669493	10709	-	3	3III	Brazil: Pernambuco	2005	Homo sapiens
ncbi-curated	JX669494	10710	-	3	3III	Brazil: Pernambuco	2005	Homo sapiens
ncbi-curated	JX669495	10707	-	3	3III	Brazil: Pernambuco	2004	Homo sapiens
ncbi-curated	JX669496	10709	-	3	3III	Brazil: Pernambuco	2006	Homo sapiens
ncbi-curated	JX669497	10709	-	3	3III	Brazil: Pernambuco	2005	Homo sapiens
ncbi-curated	JX669498	10707	-	3	3III	Brazil: Pernambuco	2004	Homo sapiens
ncbi-curated	JX669499	10707	-	3	3III	Brazil: Pernambuco	2004	Homo sapiens
ncbi-curated	JX669500	10707	-	3	3III	Brazil: Pernambuco	2005	Homo sapiens
ncbi-curated	JX669501	10707	-	3	3III	Brazil: Pernambuco	2005	Homo sapiens
ncbi-curated	JX669502	10705	-	3	3III	Brazil: Pernambuco	2005	Homo sapiens
ncbi-curated	JX669503	10707	-	3	3III	Brazil: Pernambuco	2005	Homo sapiens
ncbi-curated	JX669504	10707	-	3	3III	Brazil: Pernambuco	2006	Homo sapiens
ncbi-curated	JX669505	10707	-	3	3III	Brazil: Pernambuco	2006	Homo sapiens
ncbi-curated	JX669506	10708	-	3	3III	Brazil: Pernambuco	2006	Homo sapiens
ncbi-curated	JX669507	10707	-	3	3III	Brazil: Pernambuco	2006	Homo sapiens
ncbi-curated	JX669508	10708	-	3	3III	Brazil: Pernambuco	2006	Homo sapiens
ncbi-curated	KC131140	10668	-	1	1I	China: Guangdong	2012	Homo sapiens
ncbi-curated	KC131141	10671	-	1	1I	China: Guangdong	2012	Homo sapiens
ncbi-curated	KC131142	10673	-	2	2II	China: Guangdong	2012	Homo sapiens
ncbi-curated	KC261634	10630	-	3	3II	China	2012	Homo sapiens
ncbi-curated	KC425218	8249	-	3	3III	Brazil	2002	Homo sapiens
ncbi-curated	KC425219	10707	-	3	3III	Brazil	2002	Homo sapiens
ncbi-curated	KC759167	10735	-	1	1I	China	2012	Homo sapiens
ncbi-curated	KC964093	10723	-	2	-	China: Jiangmen, Guangdong Province	2001	Homo sapiens
ncbi-curated	KC964094	10723	-	2	2II	China: Foshan, Guangdong Province	1993	Homo sapiens
ncbi-curated	KC964095	10723	-	2	-	China: Nanhai, Guangdong Province	1998	Homo sapiens
ncbi-curated	KF289072	10669	-	1	-	India	2011	Homo sapiens
ncbi-curated	KF289073	10690	-	1	-	India	1956	Homo sapiens
ncbi-curated	KF672759	10176	-	1	-	Brazil: RJ	2010	Homo sapiens
ncbi-curated	KF672760	10176	-	1	1V	Brazil: RJ	2011	Homo sapiens
ncbi-curated	KF672761	10176	-	1	1V	Brazil: RJ	1988	Homo sapiens
ncbi-curated	KF672762	10176	-	1	1V	Brazil: RJ	1989	Homo sapiens
ncbi-curated	KF672763	10176	-	1	1V	Brazil: ES	2000	Homo sapiens
ncbi-curated	KF672764	10176	-	1	1V	Brazil: RJ	2001	Homo sapiens
ncbi-curated	KF744397	10176	-	2	2II	Philippines	2001	Homo sapiens
ncbi-curated	KF744398	10176	-	2	-	Philippines	2005	Homo sapiens
ncbi-curated	KF744399	10176	-	2	-	Philippines	1998	Homo sapiens
ncbi-curated	KF744400	10176	-	2	-	Philippines	2000	Homo sapiens
ncbi-curated	KF744401	10176	-	2	-	Philippines	2000	Homo sapiens
ncbi-curated	KF744402	10176	-	2	-	Philippines	2000	Homo sapiens
ncbi-curated	KF744403	10176	-	2	-	Philippines	1995	Homo sapiens
ncbi-curated	KF744404	10176	-	2	-	Philippines	1996	Homo sapiens
ncbi-curated	KF744405	10176	-	2	-	Philippines	1996	Homo sapiens
ncbi-curated	KF744408	10176	-	2	-	Philippines	2005	Homo sapiens
ncbi-curated	KF824902	10707	-	3	-	China	2013	Homo sapiens
ncbi-curated	KF824903	10707	-	3	-	China	2013	Homo sapiens
ncbi-curated	KF864667	10141	-	1	-	China: Zhejiang	2013	Homo sapiens
ncbi-curated	KF887994	10733	-	1	1I	Thailand	2013	Homo sapiens
ncbi-curated	KF921911	10609	-	1	1V	Puerto Rico	1996	Homo sapiens
ncbi-curated	KF921912	6135	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921913	10430	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921914	10362	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921915	5800	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921916	10534	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921917	8375	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921918	5716	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921919	9645	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921920	10215	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921921	10136	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921922	10201	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921923	10595	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF921924	10599	-	3	3III	Nicaragua	2010	Homo sapiens
ncbi-curated	KF921925	9613	-	3	3III	Nicaragua	2010	Homo sapiens
ncbi-curated	KF921926	10556	-	3	3III	Nicaragua	2010	Homo sapiens
ncbi-curated	KF921927	9558	-	3	3III	Nicaragua	2010	Homo sapiens
ncbi-curated	KF921928	10575	-	3	3III	Nicaragua	2010	Homo sapiens
ncbi-curated	KF921929	10442	-	3	3III	Nicaragua	2010	Homo sapiens
ncbi-curated	KF921930	10283	-	2	-	Cambodia	2002	Homo sapiens
ncbi-curated	KF921931	10370	-	2	-	Cambodia	2003	Homo sapiens
ncbi-curated	KF921932	10254	-	1	1I	Cambodia	2007	Homo sapiens
ncbi-curated	KF921933	10973	-	1	1I	Cambodia	2007	Homo sapiens
ncbi-curated	KF921934	10447	-	1	1I	Viet Nam	2006	Homo sapiens
ncbi-curated	KF921935	10528	-	1	1I	Viet Nam	2007	Homo sapiens
ncbi-curated	KF921936	10239	-	1	1I	Viet Nam	2006	Homo sapiens
ncbi-curated	KF921937	9951	-	1	1I	Viet Nam	2006	Homo sapiens
ncbi-curated	KF921938	6538	-	1	1I	Viet Nam	2006	Homo sapiens
ncbi-curated	KF921939	10291	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921940	10715	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921941	10177	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921942	10374	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921943	10254	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921944	10186	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921945	10141	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921946	10208	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921947	10153	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921948	10834	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921949	10449	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921950	10185	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921951	10252	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF921952	7012	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF954945	10686	-	3	3III	China: Zhongshan	2013	Homo sapiens; sex: male; age: 51 years
ncbi-curated	KF954946	10686	-	3	3III	China: Zhongshan	2013	Homo sapiens; sex: female; age: 46 years
ncbi-curated	KF954947	10675	-	3	3III	China: Zhongshan	2013	Homo sapiens; sex: male; age: 25 years
ncbi-curated	KF954948	10678	-	3	3III	China: Zhongshan	2013	Homo sapiens; sex: male; age: 24 years
ncbi-curated	KF954949	10677	-	3	3III	China: Zhongshan	2013	Homo sapiens; sex: female; age: 49 years
ncbi-curated	KF955332	10688	-	3	3II	Cambodia	2000	Homo sapiens
ncbi-curated	KF955333	10502	-	3	3II	Cambodia	2005	Homo sapiens
ncbi-curated	KF955334	6303	-	3	3III	Nicaragua	2008	Homo sapiens
ncbi-curated	KF955335	8184	-	3	3III	Nicaragua	2009	Homo sapiens
ncbi-curated	KF955338	5368	-	3	3II	Cambodia	2006	Homo sapiens
ncbi-curated	KF955340	7623	-	2	2III	Venezuela	-	Homo sapiens
ncbi-curated	KF955342	7637	-	2	2III	Colombia	2005	Homo sapiens
ncbi-curated	KF955344	8930	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955345	6991	-	2	2III	Nicaragua	2000	Homo sapiens
ncbi-curated	KF955346	10555	-	2	2III	Venezuela	2007	Homo sapiens
ncbi-curated	KF955348	7428	-	2	2III	Venezuela	2007	Homo sapiens
ncbi-curated	KF955350	7519	-	2	2III	Nicaragua	1999	Homo sapiens
ncbi-curated	KF955352	9182	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955353	8959	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955354	6670	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955355	5398	-	2	2III	Brazil	2008	Homo sapiens
ncbi-curated	KF955356	9483	-	2	2III	Mexico	2005	Homo sapiens
ncbi-curated	KF955357	8390	-	2	2III	Mexico	2003	Homo sapiens
ncbi-curated	KF955358	5177	-	2	-	Cambodia	2008	Homo sapiens
ncbi-curated	KF955359	10531	-	2	2III	Puerto Rico	2006	Homo sapiens
ncbi-curated	KF955360	10531	-	2	2III	Puerto Rico	2006	Homo sapiens
ncbi-curated	KF955361	7037	-	2	2III	Nicaragua	2005	Homo sapiens
ncbi-curated	KF955362	10740	-	2	2III	Nicaragua	2005	Homo sapiens
ncbi-curated	KF955363	10531	-	2	2III	Puerto Rico	1986	Homo sapiens
ncbi-curated	KF955364	10521	-	2	2III	Puerto Rico	2006	Homo sapiens
ncbi-curated	KF955365	10780	-	2	2III	Venezuela	-	Homo sapiens
ncbi-curated	KF955366	10658	-	2	2III	Nicaragua	2007	Homo sapiens
ncbi-curated	KF955367	6737	-	2	2III	Nicaragua	2007	Homo sapiens
ncbi-curated	KF955368	6430	-	2	2III	Nicaragua	2007	Homo sapiens
ncbi-curated	KF955369	10651	-	2	2III	Nicaragua	2007	Homo sapiens
ncbi-curated	KF955370	5338	-	2	2III	Puerto Rico	1993	Homo sapiens
ncbi-curated	KF955371	10391	-	2	2III	Puerto Rico	1994	Homo sapiens
ncbi-curated	KF955372	10646	-	2	2III	Puerto Rico	1997	Homo sapiens
ncbi-curated	KF955373	10991	-	2	2III	Puerto Rico	1997	Homo sapiens
ncbi-curated	KF955374	7534	-	2	2III	Nicaragua	2007	Homo sapiens
ncbi-curated	KF955375	7259	-	2	2III	Nicaragua	2006	Homo sapiens
ncbi-curated	KF955376	7531	-	2	2III	Nicaragua	2006	Homo sapiens
ncbi-curated	KF955377	7548	-	2	2III	Nicaragua	2006	Homo sapiens
ncbi-curated	KF955378	7038	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955379	7473	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955380	7537	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955381	7241	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955382	7485	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955383	7510	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955384	7047	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955385	10572	-	2	2III	Venezuela	2007	Homo sapiens
ncbi-curated	KF955386	8017	-	2	2III	Venezuela	2007	Homo sapiens
ncbi-curated	KF955387	7005	-	2	2III	Nicaragua	2007	Homo sapiens
ncbi-curated	KF955388	7043	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955389	6155	-	2	2III	Nicaragua	2006	Homo sapiens
ncbi-curated	KF955390	6144	-	2	2III	Nicaragua	1999	Homo sapiens
ncbi-curated	KF955391	7000	-	2	2III	Nicaragua	2001	Homo sapiens
ncbi-curated	KF955392	6999	-	2	2III	Nicaragua	2007	Homo sapiens
ncbi-curated	KF955393	7047	-	2	2III	Nicaragua	2007	Homo sapiens
ncbi-curated	KF955394	6871	-	2	2III	Mexico	2007	Homo sapiens
ncbi-curated	KF955395	10649	-	2	2III	Mexico	2007	Homo sapiens
ncbi-curated	KF955396	8232	-	2	2III	Mexico	2008	Homo sapiens
ncbi-curated	KF955398	7387	-	2	-	Cambodia	2008	Homo sapiens
ncbi-curated	KF955399	9637	-	2	-	Cambodia	2008	Homo sapiens
ncbi-curated	KF955400	9882	-	2	2III	Nicaragua	2005	Homo sapiens
ncbi-curated	KF955401	10558	-	2	-	Cambodia	2008	Homo sapiens
ncbi-curated	KF955402	10505	-	2	-	Cambodia	2008	Homo sapiens
ncbi-curated	KF955403	7868	-	1	1V	Nicaragua	2005	Homo sapiens
ncbi-curated	KF955404	7870	-	1	1V	Nicaragua	2005	Homo sapiens
ncbi-curated	KF955405	9799	-	1	1I	Cambodia	2002	Homo sapiens
ncbi-curated	KF955406	10687	-	1	1I	Cambodia	2001	Homo sapiens
ncbi-curated	KF955407	10614	-	1	1V	Venezuela	2005	Homo sapiens
ncbi-curated	KF955408	8217	-	1	1V	Venezuela	2007	Homo sapiens
ncbi-curated	KF955409	7869	-	1	1V	Nicaragua	2005	Homo sapiens
ncbi-curated	KF955411	9286	-	1	1V	Venezuela	2000	Homo sapiens
ncbi-curated	KF955413	9308	-	1	1V	Venezuela	2006	Homo sapiens
ncbi-curated	KF955414	5287	-	1	1V	Venezuela	2006	Homo sapiens
ncbi-curated	KF955415	10508	-	1	1V	Mexico	2006	Homo sapiens
ncbi-curated	KF955416	10690	-	1	1V	Mexico	2006	Homo sapiens
ncbi-curated	KF955417	10690	-	1	1V	Mexico	2006	Homo sapiens
ncbi-curated	KF955418	6028	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955419	10690	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955420	10669	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955421	10654	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955422	10669	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955423	6474	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955424	9928	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955425	8995	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955426	5505	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955427	10695	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955428	10681	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955429	5783	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955430	5680	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955431	6319	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955432	5943	-	1	1V	Mexico	2008	Homo sapiens
ncbi-curated	KF955433	10686	-	1	1V	Mexico	2008	Homo sapiens
ncbi-curated	KF955435	8626	-	1	1I	Cambodia	2006	Homo sapiens
ncbi-curated	KF955437	9725	-	1	1V	Puerto Rico	1998	Homo sapiens
ncbi-curated	KF955438	9869	-	1	1V	Puerto Rico	1998	Homo sapiens
ncbi-curated	KF955439	9873	-	1	1V	Puerto Rico	1995	Homo sapiens
ncbi-curated	KF955440	9873	-	1	1I	Cambodia	2007	Homo sapiens
ncbi-curated	KF955441	10600	-	1	1V	Venezuela	2007	Homo sapiens
ncbi-curated	KF955442	10628	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955443	10686	-	1	1V	Mexico	2007	Homo sapiens
ncbi-curated	KF955444	10407	-	1	1I	Cambodia	2007	Homo sapiens
ncbi-curated	KF955445	9084	-	1	1I	Cambodia	2003	Homo sapiens
ncbi-curated	KF955446	10470	-	1	1I	Viet Nam	2008	Homo sapiens
ncbi-curated	KF955447	7281	-	3	3III	Venezuela	-	Homo sapiens
ncbi-curated	KF955448	7137	-	3	3III	Puerto Rico	2006	Homo sapiens
ncbi-curated	KF955449	10421	-	3	3III	Venezuela	-	Homo sapiens
ncbi-curated	KF955451	10507	-	3	3III	Venezuela	-	Homo sapiens
ncbi-curated	KF955452	6313	-	3	3III	Venezuela	-	Homo sapiens
ncbi-curated	KF955453	10511	-	3	3III	Venezuela	-	Homo sapiens
ncbi-curated	KF955454	10510	-	3	3III	Venezuela	-	Homo sapiens
ncbi-curated	KF955455	7366	-	3	3III	Puerto Rico	2005	Homo sapiens
ncbi-curated	KF955456	10645	-	3	3III	Puerto Rico	2006	Homo sapiens
ncbi-curated	KF955457	10636	-	3	3II	Viet Nam	2007	Homo sapiens
ncbi-curated	KF955458	10640	-	3	3II	Viet Nam	2007	Homo sapiens
ncbi-curated	KF955459	10637	-	3	3II	Viet Nam	2008	Homo sapiens
ncbi-curated	KF955460	10640	-	3	3II	Viet Nam	2008	Homo sapiens
ncbi-curated	KF955461	10668	-	3	3II	Cambodia	1999	Homo sapiens
ncbi-curated	KF955462	10810	-	3	3II	Cambodia	2001	Homo sapiens
ncbi-curated	KF955463	10525	-	3	3II	Cambodia	2001	Homo sapiens
ncbi-curated	KF955464	10525	-	3	3II	Cambodia	2007	Homo sapiens
ncbi-curated	KF955465	10614	-	3	3III	Puerto Rico	2000	Homo sapiens
ncbi-curated	KF955466	10596	-	3	3III	Puerto Rico	2000	Homo sapiens
ncbi-curated	KF955467	9643	-	3	3III	Puerto Rico	2000	Homo sapiens
ncbi-curated	KF955468	10640	-	3	3III	Puerto Rico	2001	Homo sapiens
ncbi-curated	KF955469	7375	-	3	3III	Puerto Rico	2002	Homo sapiens
ncbi-curated	KF955470	7405	-	3	3III	Puerto Rico	2002	Homo sapiens
ncbi-curated	KF955471	10525	-	3	3III	Venezuela	2004	Homo sapiens
ncbi-curated	KF955472	10639	-	3	3III	Venezuela	2004	Homo sapiens
ncbi-curated	KF955473	10459	-	3	3III	Brazil	2002	Homo sapiens
ncbi-curated	KF955474	10663	-	3	3III	Sri Lanka	1989	Homo sapiens
ncbi-curated	KF955475	6349	-	3	3III	Sri Lanka	1994	Homo sapiens
ncbi-curated	KF955476	10462	-	3	-	Sri Lanka	1983	Homo sapiens
ncbi-curated	KF955477	10525	-	3	-	India	1984	Homo sapiens
ncbi-curated	KF955478	5984	-	3	3III	Venezuela	2001	Homo sapiens
ncbi-curated	KF955479	10638	-	3	3III	Venezuela	2001	Homo sapiens
ncbi-curated	KF955480	8159	-	3	3III	Venezuela	2001	Homo sapiens
ncbi-curated	KF955481	10222	-	3	3III	Venezuela	2007	Homo sapiens
ncbi-curated	KF955482	6345	-	3	3III	Venezuela	2007	Homo sapiens
ncbi-curated	KF955483	6314	-	3	3III	Venezuela	2007	Homo sapiens
ncbi-curated	KF955485	6337	-	3	3III	Venezuela	2008	Homo sapiens
ncbi-curated	KF955486	10525	-	3	3III	Venezuela	2001	Homo sapiens
ncbi-curated	KF955487	10638	-	3	3III	Venezuela	2001	Homo sapiens
ncbi-curated	KF955488	8160	-	3	3III	Nicaragua	2008	Homo sapiens
ncbi-curated	KF955489	8137	-	3	3III	Nicaragua	2008	Homo sapiens
ncbi-curated	KF955490	10222	-	3	3III	Nicaragua	2008	Homo sapiens
ncbi-curated	KF955491	7859	-	3	3III	Nicaragua	2008	Homo sapiens
ncbi-curated	KF955492	6934	-	3	3III	Colombia	2003	Homo sapiens
ncbi-curated	KF955493	7237	-	3	3III	Brazil	2007	Homo sapiens
ncbi-curated	KF955494	7230	-	3	3III	Brazil	2007	Homo sapiens
ncbi-curated	KF955495	7237	-	3	3III	Brazil	2007	Homo sapiens
ncbi-curated	KF955496	7237	-	3	3III	Brazil	2007	Homo sapiens
ncbi-curated	KF955497	7229	-	3	3III	Brazil	2007	Homo sapiens
ncbi-curated	KF955498	7229	-	3	3III	Brazil	2007	Homo sapiens
ncbi-curated	KF955499	7229	-	3	3III	Brazil	2007	Homo sapiens
ncbi-curated	KF955500	7150	-	3	3III	Brazil	2007	Homo sapiens
ncbi-curated	KF955501	7230	-	3	3III	Brazil	2007	Homo sapiens
ncbi-curated	KF955502	7237	-	3	3III	Brazil	2007	Homo sapiens
ncbi-curated	KF955503	7237	-	3	3III	Brazil	2007	Homo sapiens
ncbi-curated	KF955504	7237	-	3	3III	Brazil	2008	Homo sapiens
ncbi-curated	KF955505	10653	-	3	3III	Grenada	2002	Homo sapiens
ncbi-curated	KF955506	9708	-	3	3II	Cambodia	2007	Homo sapiens
ncbi-curated	KF955507	10642	-	3	3II	Cambodia	2007	Homo sapiens
ncbi-curated	KF955508	10536	-	3	3II	Cambodia	2007	Homo sapiens
ncbi-curated	KF955509	6433	-	4	4II	Venezuela	-	Homo sapiens
ncbi-curated	KF955510	10586	-	4	-	Cambodia	2002	Homo sapiens
ncbi-curated	KF955511	9692	-	4	-	Cambodia	2005	Homo sapiens
ncbi-curated	KF955512	6043	-	4	4I	Cambodia	2007	Homo sapiens
ncbi-curated	KF955513	7796	-	4	4I	Cambodia	2008	Homo sapiens
ncbi-curated	KF955514	6439	-	4	4I	Cambodia	2001	Homo sapiens
ncbi-curated	KF955515	6375	-	4	-	Cambodia	2007	Homo sapiens
ncbi-curated	KF955516	9627	-	4	-	Cambodia	2008	Homo sapiens
ncbi-curated	KF955517	6418	-	4	4I	Thailand	2005	Homo sapiens
ncbi-curated	KF955518	6394	-	4	4I	Thailand	2005	Homo sapiens
ncbi-curated	KF955519	6437	-	4	4I	Thailand	2005	Homo sapiens
ncbi-curated	KF955520	6421	-	4	4I	Thailand	2005	Homo sapiens
ncbi-curated	KF955521	7162	-	4	-	Thailand	2006	Homo sapiens
ncbi-curated	KF955522	7171	-	4	4I	Thailand	2006	Homo sapiens
ncbi-curated	KF955523	7727	-	4	4II	Venezuela	2007	Homo sapiens
ncbi-curated	KF955525	5086	-	4	-	Cambodia	2008	Homo sapiens
ncbi-curated	KF955526	5051	-	4	-	Cambodia	2002	Homo sapiens
ncbi-curated	KF955527	9611	-	4	-	Cambodia	2007	Homo sapiens
ncbi-curated	KF955528	10359	-	4	4I	Cambodia	2007	Homo sapiens
ncbi-curated	KF955529	9337	-	4	4I	Cambodia	2007	Homo sapiens
