taxon	sequenceID	source.name	genotype	major_lineage	minor_lineage	isolate	country	collection_year
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON634745	ON634745	ncbi-refseqs	2II	2II_F	2II_F.1.2	NS11354	Brazil: Sao Paulo, Piracicaba	2022
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON634755	ON634755	ncbi-refseqs	2II	2II_F	2II_F.1.2	NS11458	Brazil: Sao Paulo, Piracicaba	2022
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON634756	ON634756	ncbi-refseqs	2II	2II_F	2II_F.1.2	NS10939	Brazil: Sao Paulo, Piracicaba	2022
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON885253	ON885253	ncbi-refseqs	2II	2II_C	2II_C.1	19XN16107_D2_PHL	Philippines	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON887640	ON887640	ncbi-refseqs	2II	2II_D	2II_D.2	18XN20677_D2_CHN	China: Guangzhou	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON890422	ON890422	ncbi-refseqs	2II	2II_F	2II_F.2	19XN23153_D2_CHN	China: Guangzhou	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON907581	ON907581	ncbi-refseqs	2II	2II_C	2II_C.1	19XN16107_D2_PHL	Philippines	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON908221	ON908221	ncbi-refseqs	2II	2II_C	2II_C.1	19XN16107	Philippines	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON908226	ON908226	ncbi-refseqs	2II	2II_D	2II_D.2	18XN20677	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/ON908229	ON908229	ncbi-refseqs	2II	2II_F	2II_F.2	19XN23153	China	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OP684146	OP684146	ncbi-refseqs	2II	2II_F	2II_F.1	DENV-2/CN/HZ17-1431/2017	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OP684150	OP684150	ncbi-refseqs	2II	2II_F	2II_F.1	DENV-2/CN/HZ17-1536/2017	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OP684172	OP684172	ncbi-refseqs	2II	2II_F	2II_F.1	DENV-2/CN/HZ17-699/2017	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OP684178	OP684178	ncbi-refseqs	2II	2II_F	2II_F.1	DENV-2/CN/HZ17-951/2017	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OQ144223	OQ144223	ncbi-refseqs	2III	2III_D	2III_D.1.2	NI/DB292/2018_2018	Nicaragua: Leon	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OQ144231	OQ144231	ncbi-refseqs	2III	2III_D	2III_D.1.2	NI/DB300/2018_2018	Nicaragua: Leon	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OQ144239	OQ144239	ncbi-refseqs	2III	2III_D	2III_D.1.2	NI/DB308/2018_2018	Nicaragua: Leon	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OQ144244	OQ144244	ncbi-refseqs	2III	2III_D	2III_D.1.2	NI/DB313/2018_2018	Nicaragua: Leon	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OQ144252	OQ144252	ncbi-refseqs	2III	2III_D	2III_D.1.2	NI/DB321/2018_2018	Nicaragua: Leon	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OQ426776	OQ426776	ncbi-refseqs	2V	2V_A	2V_A.1	DET-P-0330-1	Viet Nam: Nha Trang	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OQ426780	OQ426780	ncbi-refseqs	2V	2V_A	2V_A.1	DET-P-0386-1	Viet Nam: Nha Trang	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OQ426824	OQ426824	ncbi-refseqs	2V	2V_A	2V_A.1	DEN-P-1134-1	Viet Nam: Nha Trang	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OQ426834	OQ426834	ncbi-refseqs	2V	2V_A	2V_A.1	DEN-P-1220-1	Viet Nam: Nha Trang	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs/OQ426836	OQ426836	ncbi-refseqs	2V	2V_A	2V_A.1	DEN-P-1255-1	Viet Nam: Nha Trang	2018
