sequenceID	reference_seq_name	serotype	genotype	major_lineage	minor_lineage
ON887640	REF_DENV2II_D.2_ON887640	2	2II	2II_D	2II_D.2
ON908226	REF_DENV2II_D.2_ON908226	2	2II	2II_D	2II_D.2
MK783204	REF_DENV2II_D.2_MK783204	2	2II	2II_D	2II_D.2
MK564487	REF_DENV2II_D.2_MK564487	2	2II	2II_D	2II_D.2
MN018349	REF_DENV2II_D.3_MN018349	2	2II	2II_D	2II_D.3
MH827527	REF_DENV2II_D.3_MH827527	2	2II	2II_D	2II_D.3
MN018352	REF_DENV2II_D.3_MN018352	2	2II	2II_D	2II_D.3
MH827534	REF_DENV2II_D.3_MH827534	2	2II	2II_D	2II_D.3
KU365903	REF_DENV2II_D.3_KU365903	2	2II	2II_D	2II_D.3
MN944002	REF_DENV2II_C.1_MN944002	2	2II	2II_C	2II_C.1
ON907581	REF_DENV2II_C.1_ON907581	2	2II	2II_C	2II_C.1
ON908221	REF_DENV2II_C.1_ON908221	2	2II	2II_C	2II_C.1
ON885253	REF_DENV2II_C.1_ON885253	2	2II	2II_C	2II_C.1
MW512380	REF_DENV2II_C.1_MW512380	2	2II	2II_C	2II_C.1
MG599621	REF_DENV2II_C.2_MG599621	2	2II	2II_C	2II_C.2
MG599616	REF_DENV2II_C.2_MG599616	2	2II	2II_C	2II_C.2
MG599623	REF_DENV2II_C.2_MG599623	2	2II	2II_C	2II_C.2
MG599632	REF_DENV2II_C.2_MG599632	2	2II	2II_C	2II_C.2
MG599631	REF_DENV2II_C.2_MG599631	2	2II	2II_C	2II_C.2
MF156234	REF_DENV2II_A.1_MF156234	2	2II	2II_A	2II_A.1
MF156235	REF_DENV2II_A.1_MF156235	2	2II	2II_A	2II_A.1
MF156233	REF_DENV2II_A.1_MF156233	2	2II	2II_A	2II_A.1
MF156248	REF_DENV2II_A.1_MF156248	2	2II	2II_A	2II_A.1
MF156242	REF_DENV2II_A.1_MF156242	2	2II	2II_A	2II_A.1
MK783209	REF_DENV2II_A.2.1_MK783209	2	2II	2II_A	2II_A.2.1
MK783210	REF_DENV2II_A.2.1_MK783210	2	2II	2II_A	2II_A.2.1
MK783206	REF_DENV2II_A.2.1_MK783206	2	2II	2II_A	2II_A.2.1
MK783208	REF_DENV2II_A.2.1_MK783208	2	2II	2II_A	2II_A.2.1
MK783207	REF_DENV2II_A.2.1_MK783207	2	2II	2II_A	2II_A.2.1
MN335244	REF_DENV2II_A.2.2_MN335244	2	2II	2II_A	2II_A.2.2
MN335245	REF_DENV2II_A.2.2_MN335245	2	2II	2II_A	2II_A.2.2
MN335247	REF_DENV2II_A.2.2_MN335247	2	2II	2II_A	2II_A.2.2
MN335246	REF_DENV2II_A.2.2_MN335246	2	2II	2II_A	2II_A.2.2
MG779199	REF_DENV2II_A.2.2_MG779199	2	2II	2II_A	2II_A.2.2
MW295815	REF_DENV3I_A.1_MW295815	3	3I	3I_A	3I_A.1
MN922039	REF_DENV3I_A.1_MN922039	3	3I	3I_A	3I_A.1
MW720889	REF_DENV3I_A.1_MW720889	3	3I	3I_A	3I_A.1
ON908236	REF_DENV3I_A.1_ON908236	3	3I	3I_A	3I_A.1
ON890832	REF_DENV3I_A.1_ON890832	3	3I	3I_A	3I_A.1
LC436676	REF_DENV3I_A.2_LC436676	3	3I	3I_A	3I_A.2
MN922035	REF_DENV3I_A.2_MN922035	3	3I	3I_A	3I_A.2
MW396469	REF_DENV3I_A.2_MW396469	3	3I	3I_A	3I_A.2
MN018388	REF_DENV3I_A.2_MN018388	3	3I	3I_A	3I_A.2
LC436677	REF_DENV3I_A.2_LC436677	3	3I	3I_A	3I_A.2
MW945429	REF_DENV3II_A.1_MW945429	3	3II	3II_A	3II_A.1
EU660409	REF_DENV3II_A.1_EU660409	3	3II	3II_A	3II_A.1
EU482452	REF_DENV3II_A.1_EU482452	3	3II	3II_A	3II_A.1
MW945430	REF_DENV3II_A.1_MW945430	3	3II	3II_A	3II_A.1
FJ432743	REF_DENV3II_A.1_FJ432743	3	3II	3II_A	3II_A.1
MW946651	REF_DENV3II_A.2_MW946651	3	3II	3II_A	3II_A.2
MW946687	REF_DENV3II_A.2_MW946687	3	3II	3II_A	3II_A.2
MW946892	REF_DENV3II_A.2_MW946892	3	3II	3II_A	3II_A.2
KY586724	REF_DENV3II_A.2_KY586724	3	3II	3II_A	3II_A.2
MW946761	REF_DENV3II_A.2_MW946761	3	3II	3II_A	3II_A.2
MW946610	REF_DENV3II_A.3_MW946610	3	3II	3II_A	3II_A.3
MW946848	REF_DENV3II_A.3_MW946848	3	3II	3II_A	3II_A.3
MN448968	REF_DENV3II_A.3_MN448968	3	3II	3II_A	3II_A.3
MN448993	REF_DENV3II_A.3_MN448993	3	3II	3II_A	3II_A.3
MW946689	REF_DENV3II_A.3_MW946689	3	3II	3II_A	3II_A.3
EU081181	REF_DENV3III_A.1_EU081181	3	3III	3III_A	3III_A.1
EU081187	REF_DENV3III_A.1_EU081187	3	3III	3III_A	3III_A.1
EU081199	REF_DENV3III_A.1_EU081199	3	3III	3III_A	3III_A.1
EU081191	REF_DENV3III_A.1_EU081191	3	3III	3III_A	3III_A.1
EU081220	REF_DENV3III_A.1_EU081220	3	3III	3III_A	3III_A.1
LT996904	REF_DENV3III_A.2_LT996904	3	3III	3III_A	3III_A.2
LT996911	REF_DENV3III_A.2_LT996911	3	3III	3III_A	3III_A.2
LT996909	REF_DENV3III_A.2_LT996909	3	3III	3III_A	3III_A.2
LT996910	REF_DENV3III_A.2_LT996910	3	3III	3III_A	3III_A.2
LT996906	REF_DENV3III_A.2_LT996906	3	3III	3III_A	3III_A.2
EU932687	REF_DENV3III_C.1_EU932687	3	3III	3III_C	3III_C.1
EU932688	REF_DENV3III_C.1_EU932688	3	3III	3III_C	3III_C.1
GQ868587	REF_DENV3III_C.1_GQ868587	3	3III	3III_C	3III_C.1
FJ850111	REF_DENV3III_C.1_FJ850111	3	3III	3III_C	3III_C.1
FJ850109	REF_DENV3III_C.1_FJ850109	3	3III	3III_C	3III_C.1
MZ008468	REF_DENV3III_C.2_MZ008468	3	3III	3III_C	3III_C.2
MZ008476	REF_DENV3III_C.2_MZ008476	3	3III	3III_C	3III_C.2
JF937636	REF_DENV3III_C.2_JF937636	3	3III	3III_C	3III_C.2
MW946918	REF_DENV3III_C.2_MW946918	3	3III	3III_C	3III_C.2
HQ541806	REF_DENV3III_C.2_HQ541806	3	3III	3III_C	3III_C.2
MW946767	REF_DENV3III_B.1_MW946767	3	3III	3III_B	3III_B.1
MW946815	REF_DENV3III_B.1_MW946815	3	3III	3III_B	3III_B.1
KY586820	REF_DENV3III_B.1_KY586820	3	3III	3III_B	3III_B.1
KY586821	REF_DENV3III_B.1_KY586821	3	3III	3III_B	3III_B.1
KY586822	REF_DENV3III_B.1_KY586822	3	3III	3III_B	3III_B.1
MW288025	REF_DENV3III_B.2_MW288025	3	3III	3III_B	3III_B.2
MW288037	REF_DENV3III_B.2_MW288037	3	3III	3III_B	3III_B.2
MW288028	REF_DENV3III_B.2_MW288028	3	3III	3III_B	3III_B.2
MW288026	REF_DENV3III_B.2_MW288026	3	3III	3III_B	3III_B.2
MW288033	REF_DENV3III_B.2_MW288033	3	3III	3III_B	3III_B.2
MK858150	REF_DENV3III_B.3_MK858150	3	3III	3III_B	3III_B.3
MK858152	REF_DENV3III_B.3_MK858152	3	3III	3III_B	3III_B.3
ON123665	REF_DENV3III_B.3_ON123665	3	3III	3III_B	3III_B.3
ON123660	REF_DENV3III_B.3_ON123660	3	3III	3III_B	3III_B.3
OQ339138	REF_DENV3III_B.3_OQ339138	3	3III	3III_B	3III_B.3
MZ976858	REF_DENV4I_A.1.1_MZ976858	4	4I	4I_A	4I_A.1.1
ON908241	REF_DENV4I_A.1.1_ON908241	4	4I	4I_A	4I_A.1.1
ON891141	REF_DENV4I_A.1.1_ON891141	4	4I	4I_A	4I_A.1.1
MK614092	REF_DENV4I_A.1.1_MK614092	4	4I	4I_A	4I_A.1.1
MZ976859	REF_DENV4I_A.1.1_MZ976859	4	4I	4I_A	4I_A.1.1
OQ426977	REF_DENV4I_A.1.2_OQ426977	4	4I	4I_A	4I_A.1.2
OQ427013	REF_DENV4I_A.1.2_OQ427013	4	4I	4I_A	4I_A.1.2
OQ426990	REF_DENV4I_A.1.2_OQ426990	4	4I	4I_A	4I_A.1.2
OQ426989	REF_DENV4I_A.1.2_OQ426989	4	4I	4I_A	4I_A.1.2
OQ427047	REF_DENV4I_A.1.2_OQ427047	4	4I	4I_A	4I_A.1.2
KP792537	REF_DENV4I_A.1_KP792537	4	4I	4I_A	4I_A.1
KY924607	REF_DENV4I_A.1_KY924607	4	4I	4I_A	4I_A.1
MW945578	REF_DENV4I_A.2_MW945578	4	4I	4I_A	4I_A.2
MW945455	REF_DENV4I_A.2_MW945455	4	4I	4I_A	4I_A.2
MW945548	REF_DENV4I_A.2_MW945548	4	4I	4I_A	4I_A.2
KY586903	REF_DENV4I_A.2_KY586903	4	4I	4I_A	4I_A.2
KY586902	REF_DENV4I_A.2_KY586902	4	4I	4I_A	4I_A.2
MW945459	REF_DENV4I_A.3_MW945459	4	4I	4I_A	4I_A.3
MW945733	REF_DENV4I_A.3_MW945733	4	4I	4I_A	4I_A.3
MW945594	REF_DENV4I_A.3_MW945594	4	4I	4I_A	4I_A.3
MW945759	REF_DENV4I_A.3_MW945759	4	4I	4I_A	4I_A.3
MW945559	REF_DENV4I_A.3_MW945559	4	4I	4I_A	4I_A.3
MW192825	REF_DENV4I_B.1_MW192825	4	4I	4I_B	4I_B.1
MG272273	REF_DENV4I_B.1_MG272273	4	4I	4I_B	4I_B.1
MH891769	REF_DENV4I_B.1_MH891769	4	4I	4I_B	4I_B.1
OP809588	REF_DENV4I_B.1_OP809588	4	4I	4I_B	4I_B.1
OP809584	REF_DENV4I_B.1_OP809584	4	4I	4I_B	4I_B.1
KX845005	REF_DENV4I_B.2_KX845005	4	4I	4I_B	4I_B.2
MK858146	REF_DENV4I_B.2_MK858146	4	4I	4I_B	4I_B.2
KX059018	REF_DENV4I_B.2_KX059018	4	4I	4I_B	4I_B.2
KX059020	REF_DENV4I_B.2_KX059020	4	4I	4I_B	4I_B.2
KX059035	REF_DENV4I_B.2_KX059035	4	4I	4I_B	4I_B.2
OL314745	REF_DENV4II_A.1_OL314745	4	4II	4II_A	4II_A.1
OP600496	REF_DENV4II_A.1_OP600496	4	4II	4II_A	4II_A.1
OP600509	REF_DENV4II_A.1_OP600509	4	4II	4II_A	4II_A.1
OP600478	REF_DENV4II_A.1_OP600478	4	4II	4II_A	4II_A.1
OP600506	REF_DENV4II_A.1_OP600506	4	4II	4II_A	4II_A.1
JQ822247	REF_DENV4II_A.2_JQ822247	4	4II	4II_A	4II_A.2
MW720991	REF_DENV4II_A.2_MW720991	4	4II	4II_A	4II_A.2
MW720989	REF_DENV4II_A.2_MW720989	4	4II	4II_A	4II_A.2
MW720992	REF_DENV4II_A.2_MW720992	4	4II	4II_A	4II_A.2
JF741967	REF_DENV4II_A.2_JF741967	4	4II	4II_A	4II_A.2
