sequenceID	designation	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	minor_subsublineage	outgroup
OM417340.1_2021-09-21	3III_C	3	3III	3III_C	3III_C	3III_C		
OQ821502.1_2021-08-12	3III_C	3	3III	3III_C	3III_C	3III_C		
OQ603310.1_2015	3III_C	3	3III	3III_C	3III_C	3III_C		
OM417341.1_2021-09-19	3III_C	3	3III	3III_C	3III_C	3III_C		
MW192824.1_2017-08	3III_B	3	3III	3III_B	3III_B	3III_B		
MT261977.1_2017-10-12	3III_B	3	3III	3III_B	3III_B	3III_B		
EHIE21409Y22_2022	3III_B	3	3III	3III_B	3III_B	3III_B		
FJ644564.1_2007	3III_B	3	3III	3III_B	3III_B	3III_B		
OP895705.1_2018	3III_B	3	3III	3III_B	3III_B	3III_B		
MZ544587.1_2019-03	3III_B	3	3III	3III_B	3III_B	3III_B		
MN018395.1_2015-10-20	4I_A	4	4I	4I_A	4I_A	4I_A		
MW945498.1_2010	4I_A	4	4I	4I_A	4I_A	4I_A		
OQ427048.1_2019-01-15	4I_A	4	4I	4I_A	4I_A	4I_A		
MN018394.1_2015-10-03	4I_A	4	4I	4I_A	4I_A	4I_A		
OK469358.1_1976	4I_A	4	4I	4I_A	4I_A	4I_A		
MN018397.1_2016-02-01	4I_A	4	4I	4I_A	4I_A	4I_A		
MN018398.1_2016-08-16	4I_B	4	4I	4I_B	4I_B	4I_B		
OM639995.1_2021-11-16	4I_B	4	4I	4I_B	4I_B	4I_B		
OK605769.1_1983	4I_B	4	4I	4I_B	4I_B	4I_B		
JQ922559.1_1979	4I_B	4	4I	4I_B	4I_B	4I_B		
OP984198.1_2018	4I_B	4	4I	4I_B	4I_B	4I_B		
MN018396.1_2015-11-12	4II_A	4	4II	4II_A	4II_A	4II_A		
FJ196849.1_1978	4II_A	4	4II	4II_A	4II_A	4II_A		
OL314740.1_2019-05-30	4II_A	4	4II	4II_A	4II_A	4II_A		
MN018393.1_2015-07-25	4II_A	4	4II	4II_A	4II_A	4II_A		
OP600512.1_2022-07	4II_A	4	4II	4II_A	4II_A	4II_A		
OK605767.1_1976	4II_B	4	4II	4II_B	4II_B	4II_B		
KT276273.1_2014-09-08	4II_B	4	4II	4II_B	4II_B	4II_B		
OQ445966.1_2022-10-26	4II_B	4	4II	4II_B	4II_B	4II_B		
OQ821645.1_2022-09-10	4II_B	4	4II	4II_B	4II_B	4II_B		
OK469362.1_1995	4II_B	4	4II	4II_B	4II_B	4II_B		
OQ603316.1_2013-09-18	4II_B	4	4II	4II_B	4II_B	4II_B		
KX812530.1_1976	4II_B	4	4II	4II_B	4II_B	4II_B		
OR389273.1_1986	1V_H_outgroup	1	1V	1V_H	1V_H	1V_H		outgroup
OA04_1981	1V_J_outgroup	1	1V	1V_J	1V_J	1V_J		outgroup
GQ868603.1_1987	2III_E_outgroup	2	2III	2III_E	2III_E	2III_E		outgroup
MW946069.1_1999	1I_K_outgroup	1	1I	1I_K	1I_K	1I_K		outgroup
MW945806.1_1998	1I_J_outgroup	1	1I	1I_J	1I_J	1I_J		outgroup
MW946134.1_1996	1I_H_outgroup	1	1I	1I_H	1I_H	1I_H		outgroup
EF457905.1_1972	1I_G_outgroup	1	1I	1I_G	1I_G	1I_G		outgroup
KY586516.1_1998	1I_F_outgroup	1	1I	1I_F	1I_F	1I_F		outgroup
EF457905.1_1972	1I_E_outgroup	1	1I	1I_E	1I_E	1I_E		outgroup
EF457905.1_1972	1I_D_outgroup	1	1I	1I_D	1I_D	1I_D		outgroup
AB608789.1_1994	1I_C_outgroup	1	1I	1I_C	1I_C	1I_C		outgroup
EF457905.1_1972	1I_A_outgroup	1	1I	1I_A	1I_A	1I_A		outgroup
EF457905.1_1972	1I_B_outgroup	1	1I	1I_B	1I_B	1I_B		outgroup
OQ061266.1_1983	1IV_B_outgroup	1	1IV	1IV_B	1IV_B	1IV_B		outgroup
OK605753.1_1983	1IV_C_outgroup	1	1IV	1IV_C	1IV_C	1IV_C		outgroup
OK469342.1_1997	1IV_A_outgroup	1	1IV	1IV_A	1IV_A	1IV_A		outgroup
GU131835.1_2004	1V_E_outgroup	1	1V	1V_E	1V_E	1V_E		outgroup
GU131835.1_2004	1V_D_outgroup	1	1V	1V_D	1V_D	1V_D		outgroup
GU131835.1_2004	1V_F_outgroup	1	1V	1V_F	1V_F	1V_F		outgroup
GU131835.1_2004	1V_G_outgroup	1	1V	1V_G	1V_G	1V_G		outgroup
GU131835.1_2004	1V_C_outgroup	1	1V	1V_C	1V_C	1V_C		outgroup
GU131835.1_2004	1V_B_outgroup	1	1V	1V_B	1V_B	1V_B		outgroup
JQ922544.1_1963	1V_A_outgroup	1	1V	1V_A	1V_A	1V_A		outgroup
OQ061315.1_1997	1III_A_outgroup	1	1III	1III_A	1III_A	1III_A		outgroup
JQ922545.1_1982	1III_B_outgroup	1	1III	1III_B	1III_B	1III_B		outgroup
OR389286.1_1985	1VII_A_outgroup	1	1VII	1VII_A	1VII_A	1VII_A		outgroup
JQ922546.1_1971	1VII_B_outgroup	1	1VII	1VII_B	1VII_B	1VII_B		outgroup
DQ181803.1_1985	2V_A_outgroup	2	2V	2V_A	2V_A	2V_A		outgroup
KY586675.1_1995	2V_C_outgroup	2	2V	2V_C	2V_C	2V_C		outgroup
MW946422.1_1994	2V_D_outgroup	2	2V	2V_D	2V_D	2V_D		outgroup
MW946422.1_1994	2V_B_outgroup	2	2V	2V_B	2V_B	2V_B		outgroup
MW946422.1_1994	2V_E_outgroup	2	2V	2V_E	2V_E	2V_E		outgroup
OK469346.1_1981	2III_C_outgroup	2	2III	2III_C	2III_C	2III_C		outgroup
EU920828.1_1993-02	2III_D_outgroup	2	2III	2III_D	2III_D	2III_D		outgroup
GQ868603.1_1987	2III_B_outgroup	2	2III	2III_B	2III_B	2III_B		outgroup
AP001_1969-02-11	2III_A_outgroup	2	2III	2III_A	2III_A	2III_A		outgroup
MT921572.1_2000	2II_F_outgroup	2	2II	2II_F	2II_F	2II_F		outgroup
MT921572.1_2000	2II_E_outgroup	2	2II	2II_E	2II_E	2II_E		outgroup
MT921572.1_2000	2II_D_outgroup	2	2II	2II_D	2II_D	2II_D		outgroup
OK469352.1_1993	2II_C_outgroup	2	2II	2II_C	2II_C	2II_C		outgroup
GQ398263.1_1975	2II_B_outgroup	2	2II	2II_B	2II_B	2II_B		outgroup
GQ398258.1_1975	2II_A_outgroup	2	2II	2II_A	2II_A	2II_A		outgroup
AY496879.2_1997	3I_A_outgroup	3	3I	3I_A	3I_A	3I_A		outgroup
AY496879.2_1997	3I_B_outgroup	3	3I	3I_B	3I_B	3I_B		outgroup
DQ675519.1_1995	3I_C_outgroup	3	3I	3I_C	3I_C	3I_C		outgroup
OK469354.1_1989	3II_A_outgroup	3	3II	3II_A	3II_A	3II_A		outgroup
KJ737430.1_1983	3II_B_outgroup	3	3II	3II_B	3II_B	3II_B		outgroup
JQ922555.1_1966	3III_A_outgroup	3	3III	3III_A	3III_A	3III_A		outgroup
JQ922555.1_1966	3III_C_outgroup	3	3III	3III_C	3III_C	3III_C		outgroup
JQ922555.1_1966	3III_B_outgroup	3	3III	3III_B	3III_B	3III_B		outgroup
AP012_1971-05-17	4I_A_outgroup	4	4I	4I_A	4I_A	4I_A		outgroup
KR011349.2_1956-08-28	4I_B_outgroup	4	4I	4I_B	4I_B	4I_B		outgroup
MW945667.1_1997	4II_A_outgroup	4	4II	4II_A	4II_A	4II_A		outgroup
MW945667.1_1997	4II_B_outgroup	4	4II	4II_B	4II_B	4II_B		outgroup
JQ048541.1_2011-09	1I_K.1_outgroup	1	1I	1I_K	1I_K.1	1I_K.1		outgroup
JQ048541.1_2011-09	1I_K.1.1_outgroup	1	1I	1I_K	1I_K.1	1I_K.1		outgroup
JQ048541.1_2011-09	1I_K.1.2_outgroup	1	1I	1I_K	1I_K.1	1I_K.1		outgroup
MH048670.1_2014-12	1I_K.2_outgroup	1	1I	1I_K	1I_K.2	1I_K.2		outgroup
KY057369.1_2012	1I_K.3_outgroup	1	1I	1I_K	1I_K.3	1I_K.3		outgroup
FJ469909.1_2003	1I_K.4_outgroup	1	1I	1I_K	1I_K.4	1I_K.4		outgroup
FJ469907.1_2003	1I_K.5_outgroup	1	1I	1I_K	1I_K.5	1I_K.5		outgroup
MW946128.1_2006	1I_K.6_outgroup	1	1I	1I_K	1I_K.6	1I_K.6		outgroup
MW945798.1_1999	1I_K.7_outgroup	1	1I	1I_K	1I_K.7	1I_K.7		outgroup
MW945932.1_2003	1I_H.1_outgroup	1	1I	1I_H	1I_H.1	1I_H.1		outgroup
MW946067.1_2003	1I_H.2_outgroup	1	1I	1I_H	1I_H.2	1I_H.2		outgroup
MW945886.1_2004	1I_H.3_outgroup	1	1I	1I_H	1I_H.3	1I_H.3		outgroup
GU131824.1_2008	1I_E.1_outgroup	1	1I	1I_E	1I_E.1	1I_E.1		outgroup
PP269610.1_2015-05-28	1I_E.1.1_outgroup	1	1I	1I_E	1I_E.1	1I_E.1		outgroup
PP269756.1_2017-02-06	1I_E.1.2_outgroup	1	1I	1I_E	1I_E.1	1I_E.1		outgroup
MW265694.1_2012-05-16	1I_E.2_outgroup	1	1I	1I_E	1I_E.2	1I_E.2		outgroup
PP269626.1_2013-09-06	1I_E.3_outgroup	1	1I	1I_E	1I_E.3	1I_E.3		outgroup
GQ868602.1_2004	1IV_B.1_outgroup	1	1IV	1IV_B	1IV_B.1	1IV_B.1		outgroup
KP406803.1_2006	1IV_B.2_outgroup	1	1IV	1IV_B	1IV_B.2	1IV_B.2		outgroup
KF672760.1_2011	1V_E.1_outgroup	1	1V	1V_E	1V_E.1	1V_E.1		outgroup
MG877553.1_2012	1V_E.2_outgroup	1	1V	1V_E	1V_E.2	1V_E.2		outgroup
KU509249.1_2012	1V_E.3_outgroup	1	1V	1V_E	1V_E.3	1V_E.3		outgroup
OQ603261.1_2015-10-09	1V_D.1_outgroup	1	1V	1V_D	1V_D.1	1V_D.1		outgroup
OQ821380.1_2019-10-23	1V_D.1.1_outgroup	1	1V	1V_D	1V_D.1	1V_D.1		outgroup
OQ603260.1_2013-06-18	1V_D.1.2_outgroup	1	1V	1V_D	1V_D.1	1V_D.1		outgroup
GU131948.1_2001	1V_D.2_outgroup	1	1V	1V_D	1V_D.2	1V_D.2		outgroup
MW946280.1_2004	2V_A.1_outgroup	2	2V	2V_A	2V_A.1	2V_A.1		outgroup
MN448787.1_2011-07-21	2V_A.1.1_outgroup	2	2V	2V_A	2V_A.1	2V_A.1		outgroup
MN448787.1_2011-07-21	2V_A.1.2_outgroup	2	2V	2V_A	2V_A.1	2V_A.1		outgroup
GU131924.1_2008	2V_A.1.3_outgroup	2	2V	2V_A	2V_A.1	2V_A.1		outgroup
KY586603.1_2002	2V_A.3_outgroup	2	2V	2V_A	2V_A.3	2V_A.3		outgroup
MN448821.1_2012-06-07	2V_A.2_outgroup	2	2V	2V_A	2V_A.2	2V_A.2		outgroup
MW946358.1_2003	2V_A.4_outgroup	2	2V	2V_A	2V_A.4	2V_A.4		outgroup
EU920839.1_2005-09	2III_C.1_outgroup	2	2III	2III_C	2III_C.1	2III_C.1		outgroup
PP320854.1_2013-07-03	2III_C.1.1_outgroup	2	2III	2III_C	2III_C.1	2III_C.1		outgroup
OQ821472.1_2014-01-12	2III_C.1.2_outgroup	2	2III	2III_C	2III_C.1	2III_C.1		outgroup
MW946583.1_2004	2III_C.2_outgroup	2	2III	2III_C	2III_C.2	2III_C.2		outgroup
EU920828.1_1993-02	2III_D.1_outgroup	2	2III	2III_D	2III_D.1	2III_D.1		outgroup
FJ898478.1_2000	2III_D.1.1_outgroup	2	2III	2III_D	2III_D.1	2III_D.1		outgroup
FJ898478.1_2000	2III_D.1.2_outgroup	2	2III	2III_D	2III_D.1	2III_D.1		outgroup
FJ850118.1_2000	2III_D.1.3_outgroup	2	2III	2III_D	2III_D.1	2III_D.1		outgroup
EU920828.1_1993-02	2III_D.2_outgroup	2	2III	2III_D	2III_D.2	2III_D.2		outgroup
GQ868553.1_1999	2III_D.3_outgroup	2	2III	2III_D	2III_D.3	2III_D.3		outgroup
KY670633.1_1995-09	2III_A.1_outgroup	2	2III	2III_A	2III_A.1	2III_A.1		outgroup
FM210237.2_2003	2III_A.2_outgroup	2	2III	2III_A	2III_A.2	2III_A.2		outgroup
JF327392.1_2009	2II_F.1_outgroup	2	2II	2II_F	2II_F.1	2II_F.1		outgroup
MW512463.1_2016	2II_F.1.1_outgroup	2	2II	2II_F	2II_F.1	2II_F.1		outgroup
OP684201.1_2019-08-16	2II_F.1.1.1_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.1	1	outgroup
MW512452.1_2016	2II_F.1.1.2_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.2	2	outgroup
JF327392.1_2009	2II_F.1.2_outgroup	2	2II	2II_F	2II_F.1	2II_F.1		outgroup
MW730833.1_2017-07	2II_F.2_outgroup	2	2II	2II_F	2II_F.2	2II_F.2		outgroup
MW512377.1_2012	2II_F.2.1_outgroup	2	2II	2II_F	2II_F.2	2II_F.2		outgroup
MW512430.1_2014	2II_F.2.2_outgroup	2	2II	2II_F	2II_F.2	2II_F.2		outgroup
KX452015.1_2014-01	2II_E.1_outgroup	2	2II	2II_E	2II_E.1	2II_E.1		outgroup
MT921573.1_2004	2II_E.2_outgroup	2	2II	2II_E	2II_E.2	2II_E.2		outgroup
MW512364.1_2011	2II_D.1_outgroup	2	2II	2II_D	2II_D.1	2II_D.1		outgroup
MH048673.1_2014-12	2II_D.2_outgroup	2	2II	2II_D	2II_D.2	2II_D.2		outgroup
FJ196853.1_2003	2II_D.3_outgroup	2	2II	2II_D	2II_D.3	2II_D.3		outgroup
KU509269.1_2009	2II_C.1_outgroup	2	2II	2II_C	2II_C.1	2II_C.1		outgroup
JN851131.1_2005	2II_C.2_outgroup	2	2II	2II_C	2II_C.2	2II_C.2		outgroup
JQ922551.1_2005	2II_A.1_outgroup	2	2II	2II_A	2II_A.1	2II_A.1		outgroup
DQ448231.2_2001	2II_A.1.1_outgroup	2	2II	2II_A	2II_A.1	2II_A.1		outgroup
OR389029.1_2004	2II_A.1.2_outgroup	2	2II	2II_A	2II_A.1	2II_A.1		outgroup
MG560143.1_2014	2II_A.2_outgroup	2	2II	2II_A	2II_A.2	2II_A.2		outgroup
KY427084.1_2010-09-01	2II_A.2.1_outgroup	2	2II	2II_A	2II_A.2	2II_A.2		outgroup
MG560143.1_2014	2II_A.2.2_outgroup	2	2II	2II_A	2II_A.2	2II_A.2		outgroup
MN018377.1_2015-12-22	3I_A.1_outgroup	3	3I	3I_A	3I_A.1	3I_A.1		outgroup
KY921906.1_2015-06	3I_A.2_outgroup	3	3I	3I_A	3I_A.2	3I_A.2		outgroup
KF955461.1_1999	3II_A.1_outgroup	3	3II	3II_A	3II_A.1	3II_A.1		outgroup
KF955461.1_1999	3II_A.2_outgroup	3	3II	3II_A	3II_A.2	3II_A.2		outgroup
MW946629.1_1998	3II_A.3_outgroup	3	3II	3II_A	3II_A.3	3II_A.3		outgroup
MW946753.1_2003	3II_A.4_outgroup	3	3II	3II_A	3II_A.4	3II_A.4		outgroup
MW946924.1_1997	3II_A.5_outgroup	3	3II	3II_A	3II_A.5	3II_A.5		outgroup
DQ675533.1_1999	3III_A.1_outgroup	3	3III	3III_A	3III_A.1	3III_A.1		outgroup
DQ675533.1_1999	3III_A.2_outgroup	3	3III	3III_A	3III_A.2	3III_A.2		outgroup
GQ199886.1_1998	3III_C.1_outgroup	3	3III	3III_C	3III_C.1	3III_C.1		outgroup
FJ898440.1_2003	3III_C.2_outgroup	3	3III	3III_C	3III_C.2	3III_C.2		outgroup
EU854292.1_2005	3III_C.2.1_outgroup	3	3III	3III_C	3III_C.2	3III_C.2		outgroup
JX669491.1_2002	3III_C.2.2_outgroup	3	3III	3III_C	3III_C.2	3III_C.2		outgroup
GQ466079.1_2008	3III_B.1_outgroup	3	3III	3III_B	3III_B.1	3III_B.1		outgroup
KU509286.1_2011	3III_B.2_outgroup	3	3III	3III_B	3III_B.2	3III_B.2		outgroup
JQ922556.1_2005	3III_B.3_outgroup	3	3III	3III_B	3III_B.3	3III_B.3		outgroup
KX380841.1_2012	3III_B.3.1_outgroup	3	3III	3III_B	3III_B.3	3III_B.3		outgroup
ON123669.1_2018	3III_B.3.2_outgroup	3	3III	3III_B	3III_B.3	3III_B.3		outgroup
MW945663.1_1994	4I_A.1_outgroup	4	4I	4I_A	4I_A.1	4I_A.1		outgroup
KP792537.2_2011-06	4I_A.1.1_outgroup	4	4I	4I_A	4I_A.1	4I_A.1		outgroup
KP792537.2_2011-06	4I_A.1.2_outgroup	4	4I	4I_A	4I_A.1	4I_A.1		outgroup
KY586938.1_1995	4I_A.2_outgroup	4	4I	4I_A	4I_A.2	4I_A.2		outgroup
MW945761.1_1999	4I_A.3_outgroup	4	4I	4I_A	4I_A.3	4I_A.3		outgroup
KU509287.1_2009	4I_B.1_outgroup	4	4I	4I_B	4I_B.1	4I_B.1		outgroup
KF041260.1_2009	4I_B.2_outgroup	4	4I	4I_B	4I_B.2	4I_B.2		outgroup
JQ915085.1_2008-02-20	4II_A.1_outgroup	4	4II	4II_A	4II_A.1	4II_A.1		outgroup
MH888334.1_2013-01-04	4II_A.2_outgroup	4	4II	4II_A	4II_A.2	4II_A.2		outgroup
MN639764.1_2018-10	1I_K.1	1	1I	1I_K	1I_K.1	1I_K.1		
OM281593.1_2019-12	1I_K.1	1	1I	1I_K	1I_K.1	1I_K.1		
MN639766.1_2018-10	1I_K.1	1	1I	1I_K	1I_K.1	1I_K.1		
OQ678061.1_2019-12-17	1I_K.1	1	1I	1I_K	1I_K.1	1I_K.1		
MN933667.1_2018-08-09	1I_K.1	1	1I	1I_K	1I_K.1	1I_K.1		
OM281593.1_2019-12	1I_K.1.1	1	1I	1I_K	1I_K.1	1I_K.1		
MN923088.1_2019-10-25	1I_K.1.1	1	1I	1I_K	1I_K.1	1I_K.1		
OP984871.1_2022-08-12	1I_K.1.1	1	1I	1I_K	1I_K.1	1I_K.1		
OQ678061.1_2019-12-17	1I_K.1.1	1	1I	1I_K	1I_K.1	1I_K.1		
OL411495.1_2020-07	1I_K.1.1	1	1I	1I_K	1I_K.1	1I_K.1		
MW946238.1_2014	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1		
MN639765.1_2018-10	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1		
MK166996.1_2017-11-04	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1		
MK166998.1_2017-10-29	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1		
MN639764.1_2018-10	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1		
MN933664.1_2017-08-15	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1		
MN018298.1_2017-08-21	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1		
MN933667.1_2018-08-09	1I_K.1.2	1	1I	1I_K	1I_K.1	1I_K.1		
MF033220.1_2014-06	1I_K.2	1	1I	1I_K	1I_K.2	1I_K.2		
ON631278.1_2021	1I_K.2	1	1I	1I_K	1I_K.2	1I_K.2		
OM281590.1_2019-12	1I_K.2	1	1I	1I_K	1I_K.2	1I_K.2		
MZ291446.1_2020-08	1I_K.2	1	1I	1I_K	1I_K.2	1I_K.2		
MN018323.1_2016-05-24	1I_K.2	1	1I	1I_K	1I_K.2	1I_K.2		
MN556094.1_2019-09-01	1I_K.3	1	1I	1I_K	1I_K.3	1I_K.3		
MN933665.1_2017-07-31	1I_K.3	1	1I	1I_K	1I_K.3	1I_K.3		
MF033230.1_2015-02	1I_K.3	1	1I	1I_K	1I_K.3	1I_K.3		
OM281571.1_2018-12	1I_K.3	1	1I	1I_K	1I_K.3	1I_K.3		
MN933660.1_2016-04-28	1I_K.3	1	1I	1I_K	1I_K.3	1I_K.3		
KC762627.1_2008-04-17	1I_K.4	1	1I	1I_K	1I_K.4	1I_K.4		
KC762647.1_2010-03-03	1I_K.4	1	1I	1I_K	1I_K.4	1I_K.4		
KC762621.1_2008-02-15	1I_K.4	1	1I	1I_K	1I_K.4	1I_K.4		
KC762631.1_2008-02-15	1I_K.4	1	1I	1I_K	1I_K.4	1I_K.4		
KC762629.1_2008-03-15	1I_K.4	1	1I	1I_K	1I_K.4	1I_K.4		
KY586336.1_2006	1I_K.5	1	1I	1I_K	1I_K.5	1I_K.5		
MN448635.1_2010-08-03	1I_K.5	1	1I	1I_K	1I_K.5	1I_K.5		
ON038490.1_2012-11-26	1I_K.5	1	1I	1I_K	1I_K.5	1I_K.5		
KY586334.1_2008	1I_K.5	1	1I	1I_K	1I_K.5	1I_K.5		
MN448692.1_2012-10-01	1I_K.5	1	1I	1I_K	1I_K.5	1I_K.5		
KY849723.1_2010-07-06	1I_K.5	1	1I	1I_K	1I_K.5	1I_K.5		
MW945860.1_2013	1I_K.6	1	1I	1I_K	1I_K.6	1I_K.6		
MN933659.1_2015-04-21	1I_K.6	1	1I	1I_K	1I_K.6	1I_K.6		
KF971870.1_2013-08-23	1I_K.6	1	1I	1I_K	1I_K.6	1I_K.6		
MN933654.1_2014-07-24	1I_K.6	1	1I	1I_K	1I_K.6	1I_K.6		
ON038487.1_2011-06-09	1I_K.6	1	1I	1I_K	1I_K.6	1I_K.6		
HM181970.1_2008	1I_K.7	1	1I	1I_K	1I_K.7	1I_K.7		
KY586366.1_2001	1I_K.7	1	1I	1I_K	1I_K.7	1I_K.7		
MW946221.1_2006	1I_K.7	1	1I	1I_K	1I_K.7	1I_K.7		
FJ410257.1_2008	1I_K.7	1	1I	1I_K	1I_K.7	1I_K.7		
GU131752.1_2008	1I_K.7	1	1I	1I_K	1I_K.7	1I_K.7		
GQ868619.1_2003	1I_K.7	1	1I	1I_K	1I_K.7	1I_K.7		
MW386867.1_2019-10	1I_H.1	1	1I	1I_H	1I_H.1	1I_H.1		
KJ755855.1_2013-07	1I_H.1	1	1I	1I_H	1I_H.1	1I_H.1		
ON123666.1_2018	1I_H.1	1	1I	1I_H	1I_H.1	1I_H.1		
OQ080034.1_2020-08-17	1I_H.1	1	1I	1I_H	1I_H.1	1I_H.1		
MN960676.1_2019-11-16	1I_H.1	1	1I	1I_H	1I_H.1	1I_H.1		
EU482811.1_2006	1I_H.2	1	1I	1I_H	1I_H.2	1I_H.2		
GU131678.1_2008	1I_H.2	1	1I	1I_H	1I_H.2	1I_H.2		
GU131801.1_2008	1I_H.2	1	1I	1I_H	1I_H.2	1I_H.2		
GU131749.1_2008	1I_H.2	1	1I	1I_H	1I_H.2	1I_H.2		
HM181952.1_2007	1I_H.2	1	1I	1I_H	1I_H.2	1I_H.2		
MW946105.1_2006	1I_H.3	1	1I	1I_H	1I_H.3	1I_H.3		
MW946070.1_2006	1I_H.3	1	1I	1I_H	1I_H.3	1I_H.3		
KY849741.1_2008-10-06	1I_H.3	1	1I	1I_H	1I_H.3	1I_H.3		
KY586396.1_2004	1I_H.3	1	1I	1I_H	1I_H.3	1I_H.3		
KC172834.1_2008-10-06	1I_H.3	1	1I	1I_H	1I_H.3	1I_H.3		
MN933669.1_2018-10-16	1I_E.1	1	1I	1I_E	1I_E.1	1I_E.1		
MN018326.1_2017-09-19	1I_E.1	1	1I	1I_E	1I_E.1	1I_E.1		
MG840578.1_2017	1I_E.1	1	1I	1I_E	1I_E.1	1I_E.1		
OQ426604.1_2019-04-23	1I_E.1	1	1I	1I_E	1I_E.1	1I_E.1		
MN018333.1_2016-02-25	1I_E.1	1	1I	1I_E	1I_E.1	1I_E.1		
MN912178.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1		
MN912190.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1		
MN912192.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1		
MN912188.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1		
MN912185.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1		
MN912183.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1		
MN912182.1_2017-07-31	1I_E.1.1	1	1I	1I_E	1I_E.1	1I_E.1		
MN912167.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1		
MN912152.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1		
MN912176.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1		
MN912169.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1		
MN912168.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1		
MN912165.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1		
MN912175.1_2017-07-18	1I_E.1.2	1	1I	1I_E	1I_E.1	1I_E.1		
MW265710.1_2016-04-27	1I_E.2	1	1I	1I_E	1I_E.2	1I_E.2		
MW315188.1_2017-03-17	1I_E.2	1	1I	1I_E	1I_E.2	1I_E.2		
MW315184.1_2017-04-12	1I_E.2	1	1I	1I_E	1I_E.2	1I_E.2		
MW315182.1_2017-03-10	1I_E.2	1	1I	1I_E	1I_E.2	1I_E.2		
MW315190.1_2017-03-29	1I_E.2	1	1I	1I_E	1I_E.2	1I_E.2		
MW315195.1_2017-06-05	1I_E.2	1	1I	1I_E	1I_E.2	1I_E.2		
PP269662.1_2015-01-07	1I_E.3	1	1I	1I_E	1I_E.3	1I_E.3		
OQ832614.1_2020-09	1I_E.3	1	1I	1I_E	1I_E.3	1I_E.3		
LC428075.1_2017	1I_E.3	1	1I	1I_E	1I_E.3	1I_E.3		
OQ426650.1_2017-02-24	1I_E.3	1	1I	1I_E	1I_E.3	1I_E.3		
OQ426707.1_2017-07-06	1I_E.3	1	1I	1I_E	1I_E.3	1I_E.3		
OQ832613.1_2020-09	1I_E.3	1	1I	1I_E	1I_E.3	1I_E.3		
MT832032.1_2013	1IV_B.1	1	1IV	1IV_B	1IV_B.1	1IV_B.1		
OM281599.1_2020-12	1IV_B.1	1	1IV	1IV_B	1IV_B.1	1IV_B.1		
MN018297.1_2017-05-08	1IV_B.1	1	1IV	1IV_B	1IV_B.1	1IV_B.1		
KP406803.1_2006	1IV_B.1	1	1IV	1IV_B	1IV_B.1	1IV_B.1		
MT832048.1_2013	1IV_B.1	1	1IV	1IV_B	1IV_B.1	1IV_B.1		
MN923105.1_2019-08-26	1IV_B.1	1	1IV	1IV_B	1IV_B.1	1IV_B.1		
OP895913.1_2017-01	1IV_B.2	1	1IV	1IV_B	1IV_B.2	1IV_B.2		
OM281589.1_2019-12	1IV_B.2	1	1IV	1IV_B	1IV_B.2	1IV_B.2		
MT832037.1_2012	1IV_B.2	1	1IV	1IV_B	1IV_B.2	1IV_B.2		
MT832040.1_2012	1IV_B.2	1	1IV	1IV_B	1IV_B.2	1IV_B.2		
MT832033.1_2015	1IV_B.2	1	1IV	1IV_B	1IV_B.2	1IV_B.2		
MT862857.1_2019-05-13	1V_E.1	1	1V	1V_E	1V_E.1	1V_E.1		
ON632053.1_2022-04-04	1V_E.1	1	1V	1V_E	1V_E.1	1V_E.1		
OR167255.1_2023-03-23	1V_E.1	1	1V	1V_E	1V_E.1	1V_E.1		
OQ605977.1_2022-03-15	1V_E.1	1	1V	1V_E	1V_E.1	1V_E.1		
ON632121.1_2022-03-17	1V_E.1	1	1V	1V_E	1V_E.1	1V_E.1		
OM833058.1_2020-06-27	1V_E.2	1	1V	1V_E	1V_E.2	1V_E.2		
OQ821377.1_2013-08-29	1V_E.2	1	1V	1V_E	1V_E.2	1V_E.2		
