sequenceID	fasta_name	Country	collection_date	serotype	old_genotype	genotype	major_lineage	minor_lineage	trimmed_coverage	source
GU131692	GU131692.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
FJ410242	FJ410242.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GQ199813	GQ199813.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ898381	FJ898381.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
GQ199826	GQ199826.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ906964	FJ906964.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
EU482532	EU482532.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU482804	EU482804.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
HE795086	HE795086.1|2008-08-05	France	05/08/2008	DENV1	1I	1I	1I_G		1	genbank
EU660391	EU660391.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
GQ199806	GQ199806.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ898402	FJ898402.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
FJ182032	FJ182032.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
EU677150	EU677150.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ182035	FJ182035.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
EU677162	EU677162.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
EU677175	EU677175.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ024459	FJ024459.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ182020	FJ182020.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ182024	FJ182024.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
GU131741	GU131741.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
FJ898399	FJ898399.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
FJ898400	FJ898400.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
FJ898426	FJ898426.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
FJ882519	FJ882519.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
FJ898418	FJ898418.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
JF937603	JF937603.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GU131781	GU131781.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
FJ410254	FJ410254.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
FJ410226	FJ410226.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GU131744	GU131744.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GU131772	GU131772.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GU131754	GU131754.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
KF921951	KF921951.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		0.99	genbank
GU131686	GU131686.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GQ199814	GQ199814.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ410246	FJ410246.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
FJ882529	FJ882529.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
KT827369	KT827369.1|2011	China	2011	DENV1	1I	1I	1I_G		1	genbank
GU131751	GU131751.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GQ199800	GQ199800.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ410252	FJ410252.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
GU131722	GU131722.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
FJ410279	FJ410279.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GU131762	GU131762.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GQ199840	GQ199840.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
FJ639674	FJ639674.1|2002	Cambodia	2002	DENV1	1I	1I	1I_G		1	genbank
FJ562101	FJ562101.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ410253	FJ410253.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ410216	FJ410216.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
GQ199798	GQ199798.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
GQ199801	GQ199801.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
EU482477	EU482477.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ205882	FJ205882.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ024436	FJ024436.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ182034	FJ182034.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
HM181961	HM181961.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
FJ410248	FJ410248.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
FJ410268	FJ410268.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
FJ410273	FJ410273.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GQ199799	GQ199799.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ410238	FJ410238.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
FJ898378	FJ898378.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
JF937599	JF937599.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU482536	EU482536.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU482826	EU482826.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
FJ882532	FJ882532.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
FJ898413	FJ898413.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU482538	EU482538.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU482828	EU482828.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
GQ199817	GQ199817.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
GQ199820	GQ199820.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
EU482484	EU482484.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ898384	FJ898384.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ898377	FJ898377.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
EU482488	EU482488.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ461339	FJ461339.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
EU482809	EU482809.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
GU131689	GU131689.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
EU482480	EU482480.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU482706	EU482706.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU482491	EU482491.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
EU482714	EU482714.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
EU660402	EU660402.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
FJ898398	FJ898398.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU687247	EU687247.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
GQ199845	GQ199845.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
FJ898410	FJ898410.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
KF921939	KF921939.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		0.99	genbank
GU131730	GU131730.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GU131767	GU131767.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GU131786	GU131786.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GU131684	GU131684.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
HM181963	HM181963.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GU131811	GU131811.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
FJ882555	FJ882555.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
GU131756	GU131756.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GU131794	GU131794.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
GQ199811	GQ199811.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ432746	FJ432746.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
JF937602	JF937602.1|2008	Vietnam	2008	DENV1	1I	1I	1I_G		1	genbank
EU482793	EU482793.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU482534	EU482534.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU482798	EU482798.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU660392	EU660392.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
FJ882551	FJ882551.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
EU249492	EU249492.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU482810	EU482810.1|2006	Vietnam	2006	DENV1	1I	1I	1I_G		1	genbank
EU482790	EU482790.1|2003	Vietnam	2003	DENV1	1I	1I	1I_G		1	genbank
GQ868618	GQ868618.1|2003	Cambodia	2003	DENV1	1I	1I	1I_G		1	genbank
HM181939	HM181939.1|2006	Cambodia	2006	DENV1	1I	1I	1I_G		1	genbank
HM181945	HM181945.1|2007	Cambodia	2007	DENV1	1I	1I	1I_G		1	genbank
HM181944	HM181944.1|2007	Cambodia	2007	DENV1	1I	1I	1I_G		1	genbank
HM181951	HM181951.1|2007	Cambodia	2007	DENV1	1I	1I	1I_G		1	genbank
JQ287665	JQ287665.1|2007	Cambodia	2007	DENV1	1I	1I	1I_G		1	genbank
HM181942	HM181942.1|2006	Cambodia	2006	DENV1	1I	1I	1I_G		1	genbank
HQ624983	HQ624983.1|2007	Cambodia	2007	DENV1	1I	1I	1I_G		1	genbank
FJ639691	FJ639691.1|2007	Cambodia	2007	DENV1	1I	1I	1I_G		1	genbank
KF955440	KF955440.1|2007	Cambodia	2007	DENV1	1I	1I	1I_G		0.96	genbank
FJ639696	FJ639696.1|2007	Cambodia	2007	DENV1	1I	1I	1I_G		1	genbank
GU131890	GU131890.1|2006	Cambodia	2006	DENV1	1I	1I	1I_G		1	genbank
FJ639687	FJ639687.1|2006	Cambodia	2006	DENV1	1I	1I	1I_G		1	genbank
GQ868630	GQ868630.1|2006	Cambodia	2006	DENV1	1I	1I	1I_G		1	genbank
GU131926	GU131926.1|2006	Cambodia	2006	DENV1	1I	1I	1I_G		1	genbank
GQ868639	GQ868639.1|2006	Cambodia	2006	DENV1	1I	1I	1I_G		1	genbank
FJ639693	FJ639693.1|2007	Cambodia	2007	DENV1	1I	1I	1I_G		1	genbank
FJ639684	FJ639684.1|2005	Cambodia	2005	DENV1	1I	1I	1I_G		1	genbank
FJ882559	FJ882559.1|2007	Vietnam	2007	DENV1	1I	1I	1I_G		1	genbank
FJ639675	FJ639675.1|2003	Cambodia	2003	DENV1	1I	1I	1I_G		1	genbank
MW945986	MW945986.1|2002	Thailand	2002	DENV1	1I	1I	1I_G		1	genbank
MW946131	MW946131.1|2002	Thailand	2002	DENV1	1I	1I	1I_G		1	genbank
MW945974	MW945974.1|2001	Thailand	2001	DENV1	1I	1I	1I_G		1	genbank
KY586524	KY586524.1|2001	Thailand	2001	DENV1	1I	1I	1I_G		1	genbank
MW945923	MW945923.1|2001	Thailand	2001	DENV1	1I	1I	1I_G		1	genbank
KY586525	KY586525.1|2000	Thailand	2000	DENV1	1I	1I	1I_G		1	genbank
MW946004	MW946004.1|2000	Thailand	2000	DENV1	1I	1I	1I_G		1	genbank
KY586526	KY586526.1|2000	Thailand	2000	DENV1	1I	1I	1I_G		1	genbank
MW945979	MW945979.1|2000	Thailand	2000	DENV1	1I	1I	1I_G		1	genbank
MW946207	MW946207.1|2000	Thailand	2000	DENV1	1I	1I	1I_G		1	genbank
MW946062	MW946062.1|1997	Thailand	1997	DENV1	1I	1I	1I_G		1	genbank
MW946159	MW946159.1|1996	Thailand	1996	DENV1	1I	1I	1I_G		1	genbank
MW945866	MW945866.1|1997	Thailand	1997	DENV1	1I	1I	1I_G		1	genbank
MW946127	MW946127.1|1998	Thailand	1998	DENV1	1I	1I	1I_G		1	genbank
KY586528	KY586528.1|2002	Thailand	2002	DENV1	1I	1I	1I_G		1	genbank
MW945907	MW945907.1|1998	Thailand	1998	DENV1	1I	1I	1I_G		1	genbank
MW945801	MW945801.1|1998	Thailand	1998	DENV1	1I	1I	1I_G		1	genbank
KY586527	KY586527.1|1998	Thailand	1998	DENV1	1I	1I	1I_G		1	genbank
MW946117	MW946117.1|1996	Thailand	1996	DENV1	1I	1I	1I_G		1	genbank
MW945847	MW945847.1|1998	Thailand	1998	DENV1	1I	1I	1I_G		1	genbank
MW945881	MW945881.1|1996	Thailand	1996	DENV1	1I	1I	1I_G		1	genbank
MW946158	MW946158.1|1999	Thailand	1999	DENV1	1I	1I	1I_G		1	genbank
MW793684	MW793684.1|2019-04	Myanmar	2019-04	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793687	MW793687.1|2018-07	Myanmar	2018-07	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793683	MW793683.1|2017-07	Myanmar	2017-07	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793685	MW793685.1|2018-05	Myanmar	2018-05	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793688	MW793688.1|2019-01	Myanmar	2019-01	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793686	MW793686.1|2019-08	Myanmar	2019-08	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793690	MW793690.1|2019-03	Myanmar	2019-03	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793689	MW793689.1|2018-07	Myanmar	2018-07	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793691	MW793691.1|2019-09	Myanmar	2019-09	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MF405201	MF405201.1|2015-09-01	China	01/09/2015	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
ON908214	ON908214.1|2019-11-16	Myanmar	16/11/2019	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
ON881145	ON881145.1|2019-11-16	Myanmar	16/11/2019	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN960676	MN960676.1|2019-11-16	China	16/11/2019	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793693	MW793693.1|2018-06	Myanmar	2018-06	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793695	MW793695.1|2018-08	Myanmar	2018-08	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793694	MW793694.1|2018-07	Myanmar	2018-07	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793692	MW793692.1|2019-10	Myanmar	2019-10	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KY672941	KY672941.1|2014-09-21	China	21/09/2014	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KY672942	KY672942.1|2014-09-27	China	27/09/2014	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793680	MW793680.1|2018-01	Myanmar	2018-01	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793678	MW793678.1|2017-07	Myanmar	2017-07	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793679	MW793679.1|2017-09	Myanmar	2017-09	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793681	MW793681.1|2018-04	Myanmar	2018-04	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW793682	MW793682.1|2018-09	Myanmar	2018-09	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945810	MW945810.1|2013	Thailand	2013	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KJ806946	KJ806946.2|2013	Singapore	2013	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946043	MW946043.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946217	MW946217.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945883	MW945883.1|2013	Thailand	2013	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
ON038491	ON038491.1|2013-04-14	Thailand	14/04/2013	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MF033221	MF033221.1|2014-07	Singapore	2014-07	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448641	MN448641.1|2010-11-01	Thailand	01/11/2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448642	MN448642.1|2010-12-07	Thailand	07/12/2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448639	MN448639.1|2010-09-27	Thailand	27/09/2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448637	MN448637.1|2010-09-14	Thailand	14/09/2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448598	MN448598.1|2010-09-28	Thailand	28/09/2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KU509250	KU509250.1|2012	Thailand	2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945965	MW945965.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946077	MW946077.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448623	MN448623.1|2011-11-29	Thailand	29/11/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448678	MN448678.1|2011-11-14	Thailand	14/11/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448679	MN448679.1|2011-11-28	Thailand	28/11/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448677	MN448677.1|2011-11-09	Thailand	09/11/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448680	MN448680.1|2011-11-28	Thailand	28/11/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945913	MW945913.1|2010	Thailand	2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448638	MN448638.1|2010-09-23	Thailand	23/09/2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448656	MN448656.1|2011-06-29	Thailand	29/06/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448666	MN448666.1|2011-08-02	Thailand	02/08/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448675	MN448675.1|2011-09-26	Thailand	26/09/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448616	MN448616.1|2011-07-01	Thailand	01/07/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448618	MN448618.1|2011-07-28	Thailand	28/07/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448663	MN448663.1|2011-07-26	Thailand	26/07/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448660	MN448660.1|2011-07-12	Thailand	12/07/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448659	MN448659.1|2011-07-11	Thailand	11/07/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945985	MW945985.1|2012	Thailand	2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945998	MW945998.1|2013	Thailand	2013	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MF033201	MF033201.1|2012-08	Singapore	2012-08	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946094	MW946094.1|2012	Thailand	2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MT921569	MT921569.1|2013	Australia	2013	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945817	MW945817.1|2012	Thailand	2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946078	MW946078.1|2013	Thailand	2013	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN621141	MN621141.1|2012-02-14	Thailand	14/02/2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
ON038488	ON038488.1|2011-09-18	Thailand	18/09/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945888	MW945888.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945991	MW945991.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946133	MW946133.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946050	MW946050.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448640	MN448640.1|2010-10-20	Thailand	20/10/2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946006	MW946006.1|2010	Thailand	2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946222	MW946222.1|2010	Thailand	2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946096	MW946096.1|2010	Thailand	2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946047	MW946047.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448619	MN448619.1|2011-07-28	Thailand	28/07/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448667	MN448667.1|2011-08-03	Thailand	03/08/2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946064	MW946064.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946232	MW946232.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945785	MW945785.1|2010	Thailand	2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448626	MN448626.1|2012-10-10	Thailand	10/10/2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448629	MN448629.1|2012-10-10	Thailand	10/10/2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448625	MN448625.1|2012-10-10	Thailand	10/10/2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448627	MN448627.1|2012-10-10	Thailand	10/10/2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448624	MN448624.1|2012-10-10	Thailand	10/10/2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448694	MN448694.1|2012-10-09	Thailand	09/10/2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448628	MN448628.1|2012-10-10	Thailand	10/10/2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945909	MW945909.1|2012	Thailand	2012	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW946080	MW946080.1|2011	Thailand	2011	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448597	MN448597.1|2009-11-11	Thailand	11/11/2009	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MN448631	MN448631.1|2009-11-09	Thailand	09/11/2009	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KT445956	KT445956.1|2012	Sri_Lanka	2012	DENV1	1I	1I	1I_H	1I_H.1	0.99	genbank
KT445960	KT445960.1|2012	Sri_Lanka	2012	DENV1	1I	1I	1I_H	1I_H.1	0.99	genbank
KT445958	KT445958.1|2012	Sri_Lanka	2012	DENV1	1I	1I	1I_H	1I_H.1	0.99	genbank
KT445959	KT445959.1|2012	Sri_Lanka	2012	DENV1	1I	1I	1I_H	1I_H.1	0.99	genbank
KT445957	KT445957.1|2012	Sri_Lanka	2012	DENV1	1I	1I	1I_H	1I_H.1	0.99	genbank
KT445961	KT445961.1|2012	Sri_Lanka	2012	DENV1	1I	1I	1I_H	1I_H.1	0.99	genbank
MN018303	MN018303.1|2015-01-10	China	10/01/2015	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MG840553	MG840553.1|2015	China	2015	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KP398852	KP398852.1|2014	Sri_Lanka	2014	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KJ726662	KJ726662.1|2012-04	Sri_Lanka	2012-04	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KJ726663	KJ726663.1|2012-02	Sri_Lanka	2012-02	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KT445962	KT445962.1|2012	Sri_Lanka	2012	DENV1	1I	1I	1I_H	1I_H.1	0.99	genbank
MF033196	MF033196.1|2011-10	Singapore	2011-10	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KJ726665	KJ726665.1|2012-02	Sri_Lanka	2012-02	DENV1	1I	1I	1I_H	1I_H.1	0.97	genbank
KT445955	KT445955.1|2012	Sri_Lanka	2012	DENV1	1I	1I	1I_H	1I_H.1	0.99	genbank
KT445963	KT445963.1|2012	Sri_Lanka	2012	DENV1	1I	1I	1I_H	1I_H.1	0.99	genbank
KJ468234	KJ468234.1|2013	Germany	2013	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KJ726664	KJ726664.1|2012-03	Sri_Lanka	2012-03	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MK858138	MK858138.2|2016-10-05	India	05/10/2016	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MF033219	MF033219.1|2014-06	Singapore	2014-06	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MF033215	MF033215.1|2014-03	Singapore	2014-03	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
KJ755855	KJ755855.1|2013-07	India	2013-07	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
ON123666	ON123666.1|2018	India	2018	DENV1	1I	1I	1I_H	1I_H.1	0.96	genbank
MF033203	MF033203.1|2012-10	Singapore	2012-10	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
JN054255	JN054255.1|2010	Sri_Lanka	2010	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945982	MW945982.1|2014	Thailand	2014	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
HQ891313	HQ891313.1|2009	Sri_Lanka	2009	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
HQ891316	HQ891316.1|2009	Sri_Lanka	2009	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MW945942	MW945942.1|2014	Thailand	2014	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
HQ891315	HQ891315.1|2009	Sri_Lanka	2009	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
MT006147	MT006147.1|2018-05-06	Sri_Lanka	06/05/2018	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
OQ080034	OQ080034.1|2020-08-17	Sri_Lanka	17/08/2020	DENV1	1I	1I	1I_H	1I_H.1	1	genbank
