taxon	sequenceID	source.name	genotype	major_lineage	minor_lineage	isolate	country	collection_year
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN448870	MN448870	ncbi-refseqs-extended	2V	2V_A	2V_A.3	KDH0070A_ST_09/16/2010	Thailand	2010
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN448874	MN448874	ncbi-refseqs-extended	2V	2V_A	2V_A.4	KDH0191A_TN_09/22/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN448883	MN448883	ncbi-refseqs-extended	2V	2V_A	2V_A.4	KDC0864A_TN_09/22/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN448887	MN448887	ncbi-refseqs-extended	2V	2V_A	2V_A.3	KDH0153A_KT_07/13/2011	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN448920	MN448920	ncbi-refseqs-extended	2V	2V_A	2V_A.3	363_TM_2010	Thailand	2011
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN462635	MN462635	ncbi-refseqs-extended	2III	2III_D	2III_D.3	00255-P_12915-2015_05_19	Ecuador	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN923112	MN923112	ncbi-refseqs-extended	2II	2II_F	2II_F.2	19XN22305	China	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MN944002	MN944002	ncbi-refseqs-extended	2II	2II_C	2II_C.1	19XN16107	China: Guangzhou	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MT921571	MT921571	ncbi-refseqs-extended	2II	2II_E	2II_E.2	PNG 2015b	Australia: Queensland	2015
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MT981011	MT981011	ncbi-refseqs-extended	2II	2II_B	2II_B	2018/SN/CNR49422	Senegal	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW512380	MW512380	ncbi-refseqs-extended	2II	2II_C	2II_C.1	SG(EHI)D2/25959Y12	Singapore	2012
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW721459	MW721459	ncbi-refseqs-extended	2II	2II_D	2II_D.2	GZ8H/2019001/2018/II	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW721463	MW721463	ncbi-refseqs-extended	2II	2II_D	2II_D.1	GZ8H/2019049/2014/II	China	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW721464	MW721464	ncbi-refseqs-extended	2II	2II_D	2II_D.1	GZ8H/2019057/2014/II	China	2014
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW730820	MW730820	ncbi-refseqs-extended	2II	2II_F	2II_F.2.1	SeqB97_DENV2_CONSENSUS	Nepal	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW730825	MW730825	ncbi-refseqs-extended	2II	2II_F	2II_F.2.1	SeqB107_DENV2_CONSENSUS	Nepal	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW730826	MW730826	ncbi-refseqs-extended	2II	2II_F	2II_F.2.1	SeqB62_DENV2_CONSENSUS	Nepal	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW730827	MW730827	ncbi-refseqs-extended	2II	2II_F	2II_F.2.1	SeqB160_DENV2_CONSENSUS	Nepal	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW730831	MW730831	ncbi-refseqs-extended	2II	2II_F	2II_F.2.1	SeqL13_DENV2_CONSENSUS	Nepal	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW945434	MW945434	ncbi-refseqs-extended	2III	2III_A	2III_A.1	DENV2/VIETNAM/2003/AC21	Viet Nam	2003
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW946257	MW946257	ncbi-refseqs-extended	2V	2V_B	2V_B	03066/97	Thailand	1997
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW946279	MW946279	ncbi-refseqs-extended	2V	2V_C	2V_C	04089/01	Thailand	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW946436	MW946436	ncbi-refseqs-extended	2V	2V_C	2V_C	02164/00	Thailand	2000
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW946457	MW946457	ncbi-refseqs-extended	2V	2V_C	2V_C	05512/99	Thailand	1999
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW946483	MW946483	ncbi-refseqs-extended	2V	2V_D	2V_D	05819/01	Thailand	2001
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW946492	MW946492	ncbi-refseqs-extended	2V	2V_D	2V_D	00035/02	Thailand	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW946529	MW946529	ncbi-refseqs-extended	2V	2V_C	2V_C	01005/02	Thailand	2002
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MW946592	MW946592	ncbi-refseqs-extended	2V	2V_B	2V_B	02206/97	Thailand	1997
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/MZ773408	MZ773408	ncbi-refseqs-extended	2III	2III_D	2III_D.2	AFI009	Colombia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs/NC_001474	NC_001474	ncbi-refseqs	2V	2V	2V	16681	Thailand	1964
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OL414719	OL414719	ncbi-refseqs-extended	2V	2V_A	2V_A.2	100-0156_2019-07-25	Cambodia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OL414720	OL414720	ncbi-refseqs-extended	2V	2V_A	2V_A.2	100-0068_2019-07-25	Cambodia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OL414721	OL414721	ncbi-refseqs-extended	2V	2V_A	2V_A.2	100-0067_2019-07-25	Cambodia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OL414733	OL414733	ncbi-refseqs-extended	2II	2II_F	2II_F.1.1	109-0350_2020-08-10	Cambodia	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OL414743	OL414743	ncbi-refseqs-extended	2V	2V_A	2V_A.2	100-0072_2019-04-04	Cambodia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OL414744	OL414744	ncbi-refseqs-extended	2V	2V_A	2V_A.2	100-0039_2019-07-15	Cambodia	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OL414752	OL414752	ncbi-refseqs-extended	2II	2II_F	2II_F.1.1	109-0334_2020-07-29	Cambodia	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OL414753	OL414753	ncbi-refseqs-extended	2II	2II_F	2II_F.1.1	109-0352_2020-08-09	Cambodia	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OL414756	OL414756	ncbi-refseqs-extended	2II	2II_F	2II_F.1.1	109-0377_2020-08-29	Cambodia	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OL414758	OL414758	ncbi-refseqs-extended	2II	2II_F	2II_F.1.1	109-0408_2020-09-23	Cambodia	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OM368351	OM368351	ncbi-refseqs-extended	2II	2II_F	2II_F.2	19XN23153_D2	China: Guangzhou	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON231304	ON231304	ncbi-refseqs-extended	2II	2II_B	2II_B	310395	Senegal	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON231306	ON231306	ncbi-refseqs-extended	2II	2II_B	2II_B	310402	Senegal	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON231307	ON231307	ncbi-refseqs-extended	2II	2II_B	2II_B	310403	Senegal	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON231308	ON231308	ncbi-refseqs-extended	2II	2II_B	2II_B	310405	Senegal	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON634700	ON634700	ncbi-refseqs-extended	2III	2III_C	2III_C.1.1	NS10083	Brazil: Sao Paulo, Sorocaba	2021
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON634705	ON634705	ncbi-refseqs-extended	2III	2III_C	2III_C.1.1	NS6480	Brazil: Sao Paulo, Pindamonhangaba	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON634716	ON634716	ncbi-refseqs-extended	2III	2III_C	2III_C.1.1	NS8187	Brazil: Sao Paulo, Lorena	2020
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON634733	ON634733	ncbi-refseqs-extended	2III	2III_C	2III_C.1.1	NS9510	Brazil: Sao Paulo, Itabera	2021
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON634734	ON634734	ncbi-refseqs-extended	2III	2III_C	2III_C.1.1	NS9745	Brazil: Sao Paulo, Itu	2021
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON634742	ON634742	ncbi-refseqs-extended	2II	2II_F	2II_F.1.2	NS11015	Brazil: Sao Paulo, Piracicaba	2022
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON634743	ON634743	ncbi-refseqs-extended	2II	2II_F	2II_F.1.2	NS11299	Brazil: Sao Paulo, Sao Jose dos Campos	2022
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON634745	ON634745	ncbi-refseqs-extended	2II	2II_F	2II_F.1.2	NS11354	Brazil: Sao Paulo, Piracicaba	2022
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON634755	ON634755	ncbi-refseqs-extended	2II	2II_F	2II_F.1.2	NS11458	Brazil: Sao Paulo, Piracicaba	2022
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON634756	ON634756	ncbi-refseqs-extended	2II	2II_F	2II_F.1.2	NS10939	Brazil: Sao Paulo, Piracicaba	2022
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON885253	ON885253	ncbi-refseqs-extended	2II	2II_C	2II_C.1	19XN16107_D2_PHL	Philippines	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON887640	ON887640	ncbi-refseqs-extended	2II	2II_D	2II_D.2	18XN20677_D2_CHN	China: Guangzhou	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON890422	ON890422	ncbi-refseqs-extended	2II	2II_F	2II_F.2	19XN23153_D2_CHN	China: Guangzhou	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON907581	ON907581	ncbi-refseqs-extended	2II	2II_C	2II_C.1	19XN16107_D2_PHL	Philippines	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON908221	ON908221	ncbi-refseqs-extended	2II	2II_C	2II_C.1	19XN16107	Philippines	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON908226	ON908226	ncbi-refseqs-extended	2II	2II_D	2II_D.2	18XN20677	China	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/ON908229	ON908229	ncbi-refseqs-extended	2II	2II_F	2II_F.2	19XN23153	China	2019
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OP684146	OP684146	ncbi-refseqs-extended	2II	2II_F	2II_F.1	DENV-2/CN/HZ17-1431/2017	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OP684150	OP684150	ncbi-refseqs-extended	2II	2II_F	2II_F.1	DENV-2/CN/HZ17-1536/2017	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OP684172	OP684172	ncbi-refseqs-extended	2II	2II_F	2II_F.1	DENV-2/CN/HZ17-699/2017	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OP684178	OP684178	ncbi-refseqs-extended	2II	2II_F	2II_F.1	DENV-2/CN/HZ17-951/2017	China	2017
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OQ144223	OQ144223	ncbi-refseqs-extended	2III	2III_D	2III_D.1.2	NI/DB292/2018_2018	Nicaragua: Leon	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OQ144231	OQ144231	ncbi-refseqs-extended	2III	2III_D	2III_D.1.2	NI/DB300/2018_2018	Nicaragua: Leon	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OQ144239	OQ144239	ncbi-refseqs-extended	2III	2III_D	2III_D.1.2	NI/DB308/2018_2018	Nicaragua: Leon	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OQ144244	OQ144244	ncbi-refseqs-extended	2III	2III_D	2III_D.1.2	NI/DB313/2018_2018	Nicaragua: Leon	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OQ144252	OQ144252	ncbi-refseqs-extended	2III	2III_D	2III_D.1.2	NI/DB321/2018_2018	Nicaragua: Leon	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OQ426776	OQ426776	ncbi-refseqs-extended	2V	2V_A	2V_A.1	DET-P-0330-1	Viet Nam: Nha Trang	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OQ426780	OQ426780	ncbi-refseqs-extended	2V	2V_A	2V_A.1	DET-P-0386-1	Viet Nam: Nha Trang	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OQ426824	OQ426824	ncbi-refseqs-extended	2V	2V_A	2V_A.1	DEN-P-1134-1	Viet Nam: Nha Trang	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OQ426834	OQ426834	ncbi-refseqs-extended	2V	2V_A	2V_A.1	DEN-P-1220-1	Viet Nam: Nha Trang	2018
alignment/AL_UNC_DENV2/member/ncbi-refseqs-extended/OQ426836	OQ426836	ncbi-refseqs-extended	2V	2V_A	2V_A.1	DEN-P-1255-1	Viet Nam: Nha Trang	2018
